 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,74,255,0,255,255,255,274.37837838,9.16216216,274.37837838,9.16216216,42.04163056,270,0,8,17,16.78944512,5.61184278,78.55410768,0.52611718,17.72004515,18870,255,NaN,NaN,100,18870,272,17,73.61045967,7.45241314,2.99178822,0.33424826,0.75897436,1
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,110,255,0,255,255,255,316.26363636,4.38181818,316.26363636,4.38181818,40.97056275,310,0,14,10,13.35434115,10.48770196,13.27999246,0.82349068,15.26433752,28050,255,NaN,NaN,100,28050,311,8,31.60750225,10.00000000,1.27333340,0.78534028,0.93220339,1
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,40,255,0,255,255,255,770.90000000,2.95000000,770.90000000,2.95000000,24.14213562,767,0,8,7,7.56015490,6.73657914,45.26525066,0.86241934,9.21954446,10200,255,NaN,NaN,100,10200,769,7,49.39870535,7.00000000,1.12225430,0.89106364,0.88888889,0
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,23,255,0,255,255,255,1048.80434783,1.06521739,1048.80434783,1.06521739,25.89949494,1043,0,12,3,11.13195351,2.63067120,0.57415698,0.43087878,12.04159458,5865,255,NaN,NaN,100,5865,1043,0,175.23635831,3.00000000,4.23160200,0.23631712,0.82142857,0
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,124,255,0,255,255,255,399.05645161,9.41935484,399.05645161,9.41935484,45.69848481,392,2,14,15,17.74441404,8.89754394,129.65643859,0.74615310,19.84943324,31620,255,NaN,NaN,100,31620,392,2,130.91438322,9.89949494,1.99430474,0.50142788,0.88888889,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,30,255,0,255,255,255,1254.93333333,7.30000000,1254.93333333,7.30000000,22.14213562,1253,3,5,9,8.95756832,4.26423612,85.73796774,0.76893938,9.21954446,7650,255,NaN,NaN,100,7650,1254,3,102.52880771,5.00000000,2.10062672,0.47604841,0.81081081,0
7,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,64,255,0,255,255,255,459.59375000,18.09375000,459.59375000,18.09375000,37.45584412,454,11,10,13,11.40183641,7.14686020,109.03877706,0.57325871,13.92838828,16320,255,NaN,NaN,100,16320,458,11,111.03751103,9.47046225,1.59536301,0.62681659,0.73988439,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,131,255,0,255,255,255,161.14885496,22.58396947,161.14885496,22.58396947,45.94112550,154,15,14,14,13.59901536,12.26518067,77.12479338,0.77997000,15.26433752,33405,255,NaN,NaN,100,33405,156,29,58.39249775,13.33945938,1.10874970,0.90191682,0.85620915,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,117,255,0,255,255,255,56.19230769,22.89316239,56.19230769,22.89316239,42.87005769,50,16,14,13,15.97329775,9.32612846,136.73323044,0.79999558,17.20465053,29835,255,NaN,NaN,100,29835,50,18,144.46232221,10.69478276,1.71274691,0.58385742,0.87313433,1
10,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,42,255,0,255,255,255,241.50000000,23.78571429,241.50000000,23.78571429,29.45584412,237,19,9,9,10.25196631,5.21617602,140.48612012,0.60829775,11.40175425,10710,255,NaN,NaN,100,10710,237,21,142.12501635,6.36396103,1.96541801,0.50879762,0.77777778,1
