 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,121,255,0,255,255,255,229.73140496,15.14462810,229.73140496,15.14462810,45.11269837,222,9,16,13,18.86997785,8.16439670,32.72789771,0.74713249,19.20937271,30855,255,NaN,NaN,100,30855,223,22,38.65980825,8.87520314,2.31125196,0.43266594,0.89629630,1
2,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,18,255,0,255,255,255,441.44444444,15.38888889,441.44444444,15.38888889,14.72792206,439,13,5,5,5.36829250,4.26919953,51.52583267,1.00000000,5.83095189,4590,255,NaN,NaN,100,4590,439,17,30.96375653,4.91934955,1.25744708,0.79526209,0.85714286,1
3,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,34,255,0,255,255,255,1176.76470588,21.55882353,1176.76470588,21.55882353,22.72792206,1173,18,8,6,8.33397224,5.19441909,168.08964719,0.82712152,8.60232527,8670,255,NaN,NaN,100,8670,1174,18,144.46232221,6.00000000,1.60440890,0.62328251,0.82926829,1
4,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,95,255,0,255,255,255,993.84736842,29.27894737,993.84736842,29.27894737,40.04163056,989,21,9,16,15.93866786,7.58895021,73.62335311,0.74457759,16.49242250,24225,255,NaN,NaN,100,24225,992,37,75.96375653,8.66622457,2.10024673,0.47613453,0.86757991,0
5,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,84,255,0,255,255,255,196.20238095,32.77380952,196.20238095,32.77380952,38.38477631,192,24,8,15,14.61806422,7.31643534,80.46937587,0.71642564,15.81138830,21420,255,NaN,NaN,100,21420,193,39,71.56505118,8.00000000,1.99797627,0.50050644,0.85714286,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,94,255,0,255,255,255,766.88297872,34.26595745,766.88297872,34.26595745,38.62741700,762,28,10,13,14.51791673,8.24391815,61.11198605,0.79167400,15.26433752,23970,255,NaN,NaN,100,23970,763,41,58.39249775,9.89949494,1.76104572,0.56784443,0.87850467,1
7,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,249,255,0,255,255,255,568.17068273,51.51606426,568.17068273,51.51606426,64.42640687,558,42,20,18,19.36806318,16.36904236,32.25381924,0.75384384,21.47091055,63495,255,NaN,NaN,100,63495,558,57,27.75854060,18.00000000,1.18321297,0.84515639,0.87062937,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,46,255,0,255,255,255,939.56521739,55.56521739,939.56521739,55.56521739,32.04163056,936,50,7,11,11.59734779,5.05020804,69.10970322,0.56303900,12.08304597,11730,255,NaN,NaN,100,11730,937,61,65.55604522,6.47183246,2.29640991,0.43546233,0.75409836,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,1,255,0,255,255,255,935.50000000,52.50000000,935.50000000,52.50000000,2.82842712,935,52,1,1,1.12837917,1.12837917,0.00000000,1.00000000,1.41421356,255,255,NaN,NaN,100,255,935,52,135.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0
10,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,70,255,0,255,255,255,696.30000000,57.77142857,696.30000000,57.77142857,30.04163056,691,53,11,9,10.55465134,8.44431192,160.85463679,0.97467741,11.40175425,17850,255,NaN,NaN,100,17850,691,56,164.74488130,9.00000000,1.24991254,0.80005598,0.89171975,1
