"","name","tp","fp","fn","prec2","reca2","F1_2","geno","hand_count","auto_count"
"2","BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",117,14,18,0.893129770992366,0.866666666666667,0.879699248120301,"gp",135,131
"3","BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195201_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",95,28,7,0.772357723577236,0.931372549019608,0.844444444444445,"gp",102,123
"4","BKO-426-S57-Iba-Syn-Cortex-10x-F1a_XY1562014005_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",76,18,27,0.808510638297872,0.737864077669903,0.771573604060914,"gp",103,94
"5","BKO-426-S57-Iba-Syn-Cortex-10x-F2a_XY1562014121_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",92,24,21,0.793103448275862,0.814159292035398,0.803493449781659,"gp",113,116
"6","BKO-426-S57-Iba-Syn-Cortex-10x-F3a_XY1562014202_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",106,25,13,0.809160305343511,0.890756302521008,0.848,"gp",119,131
"7","BKO-426-S72-Iba-Syn-Cortex-10x-F1a_XY1562014556_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",100,17,19,0.854700854700855,0.840336134453782,0.847457627118644,"gp",119,117
"8","BKO-426-S72-Iba-Syn-Cortex-10x-F2a_XY1562014702_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",115,13,20,0.8984375,0.851851851851852,0.874524714828897,"gp",135,128
"9","BKO-426-S72-Iba-Syn-Cortex-10x-F3a_XY1562014820_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",103,18,11,0.851239669421488,0.903508771929825,0.876595744680851,"gp",114,121
"10","BKO-428-S42-Iba-Syn-Cortex-10x-F4a_XY1561767291_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",114,12,55,0.904761904761905,0.674556213017751,0.772881355932203,"gp",169,126
"11","BKO-428-S57-Iba-Syn-Cortex-10x-F1a_XY1562015301_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",143,14,28,0.910828025477707,0.83625730994152,0.871951219512195,"gp",171,157
