,X.1,X,lv,count_theo_hand,count_Hina_hand,count_auto,geno,count_new_auto,count_auto_thresh_inter,count_auto_thresh_yen
1,1,1,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.roi:BKO-426-S42-Iba-Syn-Cortex-...,135,151,162,gp,131,131,156
2,3,3,BKO-426-S42-Iba-Syn-Cortex-10x-F3b_XY1562195279_Z0_T0_C2.roi:BKO-426-S42-Iba-Syn-Cortex-...,102,134.3394,117,gp,123,132,158
3,4,4,BKO-426-S57-Iba-Syn-Cortex-10x-F1a_XY1562014005_Z0_T0_C2.roi:BKO-426-S57-Iba-Syn-Cortex-...,103,89,95,gp,94,100,142
4,5,5,BKO-426-S57-Iba-Syn-Cortex-10x-F2a_XY1562014121_Z0_T0_C2.roi:BKO-426-S57-Iba-Syn-Cortex-...,113,135,143,gp,116,104,161
5,6,6,BKO-426-S57-Iba-Syn-Cortex-10x-F3a_XY1562014202_Z0_T0_C2.roi:BKO-426-S57-Iba-Syn-Cortex-...,119,141,153,gp,131,128,158
6,7,7,BKO-426-S72-Iba-Syn-Cortex-10x-F1c_XY1562014656_Z0_T0_C2.roi:BKO-426-S72-Iba-Syn-Cortex-...,119,141,128,gp,117,114,140
7,8,8,BKO-426-S72-Iba-Syn-Cortex-10x-F2a_XY1562014702_Z0_T0_C2.roi:BKO-426-S72-Iba-Syn-Cortex-...,135,141,173,gp,128,137,172
8,9,9,BKO-426-S72-Iba-Syn-Cortex-10x-F3b_XY1562014846_Z0_T0_C2.roi:BKO-426-S72-Iba-Syn-Cortex-...,114,137,159,gp,121,118,158
9,11,11,BKO-428-S42-Iba-Syn-Cortex-10x-F4b_XY1561767328_Z0_T0_C2.roi:BKO-428-S42-Iba-Syn-Cortex-...,169,150,114,gp,126,124,159
10,12,12,BKO-428-S57-Iba-Syn-Cortex-10x-F1c_XY1562015427_Z0_T0_C2.roi:BKO-428-S57-Iba-Syn-Cortex-...,171,164,167,gp,157,161,198
11,13,13,BKO-428-S57-Iba-Syn-Cortex-10x-F2a_XY1562015469_Z0_T0_C2.roi:BKO-428-S57-Iba-Syn-Cortex-...,139,145,155,gp,151,150,181
12,14,14,BKO-428-S57-Iba-Syn-Cortex-10x-F3c_XY1562015734_Z0_T0_C2.roi:BKO-428-S57-Iba-Syn-Cortex-...,129,145,118,gp,130,135,163
13,15,15,BKO-428-S72-Iba-Syn-Cortex-10x-F1a_XY1562015804_Z0_T0_C2.roi:BKO-428-S72-Iba-Syn-Cortex-...,143,158,158,gp,136,158,159
14,18,18,BKO-442-S44-Iba-Syn-Cortex-10x-F2b_XY1562190468_Z0_T0_C2.roi:BKO-442-S44-Iba-Syn-Cortex-...,117,117,110,wt,106,104,135
15,19,19,BKO-442-S44-Iba-Syn-Cortex-10x-F3a_XY1562190495_Z0_T0_C2.roi:BKO-442-S44-Iba-Syn-Cortex-...,113,120,112,wt,97,94,125
16,20,20,BKO-442-S57-Iba-Syn-Cortex-10x-F1a_XY1562190558_Z0_T0_C2.roi:BKO-442-S57-Iba-Syn-Cortex-...,121,123,141,wt,115,113,135
17,21,21,BKO-442-S57-Iba-Syn-Cortex-10x-F2a_XY1562190624_Z0_T0_C2.roi:BKO-442-S57-Iba-Syn-Cortex-...,115,123,116,wt,103,97,130
18,22,22,BKO-442-S57-Iba-Syn-Cortex-10x-F3a_XY1562190686_Z0_T0_C2.roi:BKO-442-S57-Iba-Syn-Cortex-...,107,111,122,wt,97,94,121
19,23,23,BKO-442-S72-Iba-Syn-Cortex-10x-F1a_XY1562190746_Z0_T0_C2.roi:BKO-442-S72-Iba-Syn-Cortex-...,115,125,107,wt,93,93,137
20,24,24,BKO-442-S72-Iba-Syn-Cortex-10x-F2b_XY1562190811_Z0_T0_C2.roi:BKO-442-S72-Iba-Syn-Cortex-...,117,127,120,wt,103,101,136
21,25,25,BKO-442-S72-Iba-Syn-Cortex-10x-F3a_XY1562190851_Z0_T0_C2.roi:BKO-442-S72-Iba-Syn-Cortex-...,84,110,82,wt,67,69,100
22,26,26,BKO-443-S42-Iba-Syn-Cortex-10x-F1a_XY1562016482_Z0_T0_C2.roi:BKO-443-S42-Iba-Syn-Cortex-...,105,117,104,gp,100,107,141
23,27,27,BKO-443-S42-Iba-Syn-Cortex-10x-F2a_XY1562016613_Z0_T0_C2.roi:BKO-443-S42-Iba-Syn-Cortex-...,128,127,137,gp,115,116,156
24,28,28,BKO-443-S42-Iba-Syn-Cortex-10x-F3a_XY1562016746_Z0_T0_C2.roi:BKO-443-S42-Iba-Syn-Cortex-...,129,116,112,gp,129,147,175
25,30,30,BKO-443-S57-Iba-Syn-Cortex-10x-F2a_XY1562017243_Z0_T0_C2.roi:BKO-443-S57-Iba-Syn-Cortex-...,118,113,148,gp,129,133,152
