,class,precision,recall,F1,accuracy,MAE,MPE
0,classifier1,0.8314393939393939,0.6646479939439819,0.7387463188893564,0.5857238158772515,26.9,0.020060560181680544
1,classifier10,0.8585551330798479,0.8546555639666918,0.8566009104704096,0.7491705374917054,17.2,0.0004542013626040878
2,classifier11,0.8569277108433735,0.8614685844057532,0.8591921479803699,0.7531436135009927,16.9,-0.0005299015897047691
3,classifier12,0.8650116369278511,0.8440575321725965,0.8544061302681992,0.745819397993311,17.0,0.0024224072672218017
4,classifier13,0.8891566265060241,0.838001514004542,0.8628215120810601,0.7587388622344071,15.6,0.005753217259651779
5,classifier14,0.8910256410256411,0.8417865253595761,0.8657065005838848,0.7632120796156486,15.9,0.0055261165783497355
6,classifier15,0.9077306733167082,0.8266464799394398,0.8652931854199682,0.7625698324022346,16.2,0.008932626797880395
7,classifier16,0.8968058968058968,0.8289174867524602,0.8615263571990559,0.7567380787836904,16.0,0.00757002271006813
8,classifier17,0.8997534921939194,0.8289174867524602,0.8628841607565011,0.7588357588357588,15.8,0.007872823618470855
9,classifier18,0.8853247794707297,0.8357305071915215,0.8598130841121495,0.7540983606557377,15.4,0.005601816805450416
10,classifier19,0.8918058870326173,0.8485995457986374,0.8696664080682699,0.7693891557995882,14.6,0.004844814534443603
11,classifier2,0.7102306327616795,0.9091597274791824,0.797476759628154,0.6631695196024296,42.8,-0.02800908402725208
12,classifier20,0.8841607565011821,0.8493565480696442,0.8664092664092664,0.7643051771117166,15.4,0.003936411809235428
13,classifier21,0.8739299610894942,0.8501135503406511,0.8618572524942439,0.7572488199595415,16.0,0.002725208175624527
14,classifier22,0.8785488958990536,0.8433005299015897,0.8605639242950945,0.7552542372881356,15.3,0.004012112036336109
15,classifier23,0.8901363271852446,0.8402725208175624,0.8644859813084113,0.7613168724279835,14.4,0.005601816805450416
16,classifier24,0.893030794165316,0.834216502649508,0.8626223091976517,0.7584308327598073,14.7,0.006585919757759273
17,classifier25,0.8915562913907285,0.8152914458743377,0.8517200474495848,0.7417355371900827,17.3,0.008554125662376986
18,classifier3,0.8726003490401396,0.3785011355034065,0.5279831045406547,0.3586800573888092,74.8,0.05662376987130961
19,classifier4,0.761685319289006,0.8758516275548827,0.8147887323943663,0.6874628639334521,30.0,-0.014988644965934897
20,classifier5,0.8586017282010998,0.8274034822104467,0.8427139552814186,0.7281812125249834,17.6,0.0036336109008327025
21,classifier6,0.8610223642172524,0.8160484481453444,0.8379323746599301,0.7210702341137124,17.1,0.005223315669947009
22,classifier7,0.862607338017174,0.8364875094625284,0.8493466564181398,0.7381429525718103,17.4,0.003028009084027252
23,classifier8,0.8455715367146102,0.8455715367146102,0.8455715367146103,0.7324590163934426,18.8,0.0
24,classifier9,0.8546423135464232,0.8501135503406511,0.8523719165085388,0.7427248677248677,18.9,0.0005299015897047691
