,class,precision,recall,F1,accuracy,MAE,MPE,F1_geno_ttest_pval,mean_F1_ev0,mean_F1_ev1,precision_geno_ttest_pval,recall_geno_ttest_pval
0,classifier1,0.6736072031513787,0.9061317183951552,0.7727566171723692,0.6296685954760652,-45.6,-0.03451930355791068,0.0032173061227368555,0.7270623085307725,0.8313527955344983,0.003803049628042452,0.18589599502767604
0,classifier10,0.8994800693240901,0.7857683573050719,0.8387878787878787,0.7223382045929019,16.7,0.012641937925813779,0.4843209384935251,0.8492492569807768,0.8145746656524384,0.039260229554425735,0.1523430894980794
0,classifier11,0.9039595619208087,0.8122634367903103,0.8556618819776713,0.7477351916376307,13.4,0.010143830431491295,0.48512586926603163,0.8642204244806109,0.8355913154927311,0.0464395422104124,0.12338817636457279
0,classifier12,0.891566265060241,0.8402725208175624,0.8651597817614964,0.7623626373626373,7.6,0.005753217259651779,0.7621387743831245,0.8663352975225209,0.855091735861571,0.03886490530977423,0.12544537589052462
0,classifier13,0.904019688269073,0.834216502649508,0.8677165354330708,0.7663421418636995,10.2,0.007721423164269494,0.786278352408584,0.8688749007065825,0.8591640217639002,0.08867341625102174,0.16839989278550607
0,classifier14,0.9002557544757033,0.7993943981831946,0.846832397754611,0.7343532684283728,14.8,0.011203633610900833,0.938108855791997,0.8423976467459185,0.845327951581387,0.07977422525417914,0.34123460885038154
0,classifier15,0.9042277825711821,0.79333838001514,0.8451612903225807,0.7318435754189944,16.2,0.012263436790310372,0.8360634552109182,0.8456947113435813,0.8374669136899339,0.11923231137566044,0.29434735814400564
0,classifier16,0.9069965870307167,0.8046934140802422,0.8527878058563979,0.7433566433566433,14.9,0.011279333838001514,0.7747780764683323,0.8547455525631413,0.8430251378076079,0.1015515456957526,0.26131933776226596
0,classifier17,0.9059117402164862,0.8236184708554126,0.8628072957969866,0.7587168758716876,12.0,0.009084027252081756,0.6635492566332398,0.8665669424958731,0.8501903080326751,0.10387562636997155,0.15971513876164753
0,classifier18,0.902928870292887,0.8168054504163512,0.8577106518282989,0.7508698677800975,12.6,0.009538228614685843,0.6563475539990847,0.862129359166579,0.8455122595350566,0.08470833684725305,0.16692617183760236
0,classifier19,0.9050791007493755,0.8228614685844058,0.8620142743854083,0.7574912891986063,12.0,0.009084027252081756,0.820218547152912,0.862307192651285,0.8536756183503063,0.07393428410636187,0.19779891146866893
0,classifier2,0.8804616652926628,0.8084784254352763,0.8429360694554064,0.7285129604365621,10.8,0.00817562452687358,0.7647735582783776,0.8444686222810229,0.831953272417673,0.041078670324470226,0.20942927327811267
0,classifier20,0.9,0.8243754731264193,0.8605294350059265,0.7552011095700416,11.1,0.008402725208175626,0.7365996644608824,0.8630907820662183,0.8501021676062811,0.07357126909246549,0.18175120534835534
0,classifier21,0.9146029035012809,0.8107494322482968,0.8595505617977528,0.7536945812807881,15.0,0.011355034065102196,0.605998057832018,0.8644523802052815,0.846554022706896,0.07509479884011434,0.20191283019893919
0,classifier22,0.92,0.8009084027252081,0.8563334682314853,0.748761500353857,17.1,0.012944738834216502,0.6678473482776849,0.8604053572973511,0.8446580917666819,0.07654912028308762,0.21032846541619077
0,classifier23,0.9159663865546218,0.8251324753974262,0.8681800079649541,0.7670654468684025,13.1,0.00991672975018925,0.884603489534388,0.8677375235295479,0.8628060075488582,0.10901186146011684,0.23015645459905612
0,classifier24,0.9094551282051282,0.8591975775927327,0.8836123005060335,0.791492329149233,7.3,0.0055261165783497355,0.7749045702287447,0.8772465721052848,0.8867363692746544,0.131394332190944,0.34968912093842286
0,classifier25,0.8988416988416988,0.8811506434519304,0.8899082568807339,0.8016528925619835,2.6,0.001968205904617714,0.6832065073220153,0.8817693672134933,0.8957797549400883,0.1590427409464749,0.2589361806384576
0,classifier3,0.9427083333333334,0.6850870552611658,0.79351161771153,0.657703488372093,36.1,0.02732778198334595,0.6456644569916771,0.7999314715961943,0.7753680855464637,0.30471484592792497,0.49034895647729393
0,classifier4,0.9081081081081082,0.7630582891748675,0.8292883587001234,0.708362614195362,21.1,0.015972747918243754,0.49413038346820515,0.8406542135880771,0.8034651007257164,0.030240211400115444,0.16425672245258421
0,classifier5,0.9206773618538324,0.7819833459500378,0.8456815390912812,0.7326241134751773,19.9,0.01506434519303558,0.3136326703794515,0.8630987219013863,0.8123393569523932,0.14979951556200885,0.1304539629913402
0,classifier6,0.8691244239631336,0.7138531415594247,0.7838736492103077,0.644565960355434,23.6,0.01786525359576079,0.5035589084051165,0.7930717032842958,0.7559407600035989,0.1752947802875443,0.14138530004106153
0,classifier7,0.9119555143651529,0.744890234670704,0.82,0.6949152542372882,24.2,0.018319454958364876,0.3550294671500337,0.8349167512569172,0.789350359074105,0.0801707183077869,0.1385226962965186
0,classifier8,0.9063636363636364,0.7547312641937926,0.8236266005782734,0.7001404494382022,22.1,0.016729750189250568,0.3665900435588123,0.8395763264324201,0.7918277347272784,0.04245863577396752,0.1303778854972166
0,classifier9,0.909330985915493,0.7819833459500378,0.8408628408628409,0.7254213483146067,18.5,0.01400454201362604,0.32527736316091954,0.8578034231717877,0.8083917761047127,0.10800056052895289,0.1438973110505441
