,class,precision,recall,F1,accuracy,MAE,MPE,precision_F_value,precision_P_value,recall_F_value,recall_P_value,F1_F_value,F1_P_value
0,classifier1,0.4,0.4,0.4000000000000001,0.25,0.0,0.0,,,,,,
0,classifier10,0.32903225806451614,0.4722222222222222,0.38783269961977185,0.24056603773584906,-4.7,-0.04351851851851852,2.750793827092926,0.14835549583813498,1.029232888257703,0.474202204235428,,
0,classifier11,0.003389830508474576,0.009259259259259259,0.004962779156327543,0.0024875621890547263,-18.7,-0.17314814814814813,1.0000000000000004,0.4856571967592133,1.0000000000000009,0.4856571967592132,,
0,classifier13,0.0,0.0,,0.0,-5.5,-0.05092592592592593,,,,,,
0,classifier14lap,0.09375,0.027777777777777776,0.04285714285714286,0.021897810218978103,7.6,0.07037037037037037,0.9646017699115043,0.4999837403900852,1.212776221311019,0.4094803002851685,,
0,classifier15,0.0,0.0,,0.0,9.8,0.09074074074074075,,,,,,
0,classifier16,0.0,0.0,,0.0,9.8,0.09074074074074075,,,,,,
0,classifier17,0.0,0.0,,0.0,9.8,0.09074074074074075,,,,,,
0,classifier18,0.08333333333333333,0.027777777777777776,0.041666666666666664,0.02127659574468085,7.2,0.06666666666666667,0.6363636363636361,0.658908077009035,0.6568627450980393,0.6475382282500664,,
0,classifier19,0.041666666666666664,0.018518518518518517,0.02564102564102564,0.012987012987012988,6.0,0.05555555555555556,0.8823529411764706,0.5352803766237701,0.9038461538461537,0.5257787167793144,,
0,classifier2,0.015384615384615385,0.027777777777777776,0.019801980198019802,0.01,-8.7,-0.08055555555555556,1.0000000000000009,0.4856571967592132,1.0000000000000007,0.4856571967592132,,
0,classifier20,0.03333333333333333,0.018518518518518517,0.023809523809523808,0.012048192771084338,4.8,0.04444444444444444,0.903846153846154,0.5257787167793142,0.8275862068965518,0.5604094279458353,,
0,classifier21,0.08571428571428572,0.027777777777777776,0.04195804195804195,0.02142857142857143,7.3,0.06759259259259259,190.00000000000185,1.203115165417937e-05,1.10079575596817,0.44753826327224766,,
0,classifier22,0.044444444444444446,0.018518518518518517,0.0261437908496732,0.013245033112582781,6.3,0.058333333333333334,0.9384615384615385,0.5108922035032177,0.8823529411764707,0.5352803766237701,,
0,classifier23,0.07692307692307693,0.027777777777777776,0.04081632653061225,0.020833333333333332,6.9,0.06388888888888888,190.00000000000185,1.203115165417937e-05,1.10079575596817,0.44753826327224766,,
0,classifier24,0.013157894736842105,0.009259259259259259,0.010869565217391304,0.00546448087431694,3.2,0.029629629629629627,1.0000000000000002,0.4856571967592136,1.0000000000000009,0.4856571967592132,,
0,classifier25,0.016666666666666666,0.009259259259259259,0.011904761904761904,0.005988023952095809,4.8,0.04444444444444444,1.0000000000000004,0.4856571967592133,1.0000000000000009,0.4856571967592132,,
0,classifier4,0.029411764705882353,0.009259259259259259,0.01408450704225352,0.0070921985815602835,7.4,0.06851851851851852,1.0000000000000002,0.4856571967592136,1.0000000000000002,0.4856571967592136,,
0,classifier7,0.0055248618784530384,0.009259259259259259,0.006920415224913494,0.003472222222222222,-7.3,-0.06759259259259259,0.9999999999999997,0.4856571967592137,1.0000000000000009,0.4856571967592132,,
0,classifier9,0.0,0.0,,0.0,-5.6,-0.05185185185185185,,,,,,
