,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0
0,classifier13,0.142857143,0.00729927,0.013888889,0.006993007,13,0.094890511,0.076923077
0,classifier24,0.3,0.02189781,0.040816327,0.020833333,12.7,0.09270073,0.253262787
0,classifier200,1,0.065693431,0.123287671,0.065693431,12.8,0.093430657,0.267619048
0,classifier16,0.833333333,0.109489051,0.193548387,0.107142857,11.9,0.086861314,0.375791923
0,classifier9,0.75862069,0.160583942,0.265060241,0.152777778,10.8,0.078832117,0.433630952
0,classifierBayes1,0.194174757,0.437956204,0.269058296,0.155440415,-17.2,-0.125547445,0.637386399
0,classifier7,0.827586207,0.175182482,0.289156627,0.169014085,10.8,0.078832117,0.484171412
0,classifier201,0.290322581,0.328467153,0.308219178,0.182186235,-1.8,-0.013138686,0.626234468
0,classifier14,0.75,0.197080292,0.312138728,0.184931507,10.1,0.073722628,0.390614324
0,classifierBayes4,0.219251337,0.598540146,0.320939335,0.191142191,-23.7,-0.172992701,0.605572257
0,classifierBayes2,0.263829787,0.452554745,0.333333333,0.2,-9.8,-0.071532847,0.67603258
0,classifier17,0.727272727,0.233576642,0.35359116,0.214765101,9.3,0.067883212,0.335690961
0,classifier10,0.723404255,0.248175182,0.369565217,0.226666667,9,0.065693431,0.473704482
0,classifierBayes5,0.283018868,0.656934307,0.395604396,0.246575342,-18.1,-0.132116788,0.62191309
0,classifier20,0.759259259,0.299270073,0.429319372,0.273333333,8.3,0.060583942,0.334793181
0,classifier19,0.771929825,0.321167883,0.453608247,0.293333333,8,0.058394161,0.428833854
0,classifier,0.534653465,0.394160584,0.453781513,0.293478261,3.6,0.026277372,0.653489462
0,classifier5,0.753623188,0.379562044,0.504854369,0.337662338,6.8,0.049635036,0.51334925
0,classifier21,0.868852459,0.386861314,0.535353535,0.365517241,7.6,0.055474453,0.472696674
0,classifier15,0.731707317,0.437956204,0.547945205,0.377358491,5.5,0.040145985,0.532390873
0,classifier18,0.861538462,0.408759124,0.554455446,0.383561644,7.2,0.052554745,0.492982089
0,classifier202,0.805555556,0.423357664,0.555023923,0.38410596,6.5,0.047445255,0.622298241
0,classifier12,0.820512821,0.467153285,0.595348837,0.42384106,5.9,0.043065693,0.58972954
0,classifier11,0.723809524,0.554744526,0.628099174,0.457831325,3.2,0.023357664,0.617029863
0,classifier22,0.881578947,0.489051095,0.629107981,0.45890411,6.1,0.044525547,0.556506669
0,classifier4,0.931506849,0.496350365,0.647619048,0.478873239,6.4,0.046715328,0.596171171
0,classifier6,0.829545455,0.532846715,0.648888889,0.480263158,4.9,0.035766423,0.581135744
0,classifier8,0.921052632,0.510948905,0.657276995,0.48951049,6.1,0.044525547,0.614352989
0,classifier2,0.774509804,0.576642336,0.661087866,0.49375,3.5,0.025547445,0.626946966
0,classifierBayes3,0.844444444,0.554744526,0.669603524,0.503311258,4.7,0.034306569,0.558020084
0,classifier3,0.778846154,0.591240876,0.67219917,0.50625,3.3,0.024087591,0.596291941
0,classifier23,0,0,,0,13.6,0.099270073,
0,classifier25,0,0,,0,13.1,0.095620438,
