,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0
0,classifier13,0.142857143,0.006622517,0.012658228,0.006369427,14.4,0.095364238,0.0625
0,classifier24,0.3,0.01986755,0.037267081,0.018987342,14.1,0.093377483,0.168350168
0,classifier200,1,0.059602649,0.1125,0.059602649,14.2,0.094039735,0.275919732
0,classifier16,0.833333333,0.099337748,0.177514793,0.097402597,13.3,0.08807947,0.337518467
0,classifier9,0.75862069,0.145695364,0.244444444,0.139240506,12.2,0.080794702,0.36693171
0,classifierBayes1,0.194174757,0.397350993,0.260869565,0.15,-15.8,-0.104635762,0.530839312
0,classifier7,0.827586207,0.158940397,0.266666667,0.153846154,12.2,0.080794702,0.426353276
0,classifier14,0.75,0.178807947,0.288770053,0.16875,11.5,0.07615894,0.325951236
0,classifier201,0.290322581,0.298013245,0.294117647,0.172413793,-0.4,-0.002649007,0.515244177
0,classifierBayes2,0.263829787,0.410596026,0.321243523,0.191358025,-8.4,-0.055629139,0.560128084
0,classifier17,0.727272727,0.21192053,0.328205128,0.196319018,10.7,0.070860927,0.296903559
0,classifier10,0.723404255,0.225165563,0.343434343,0.207317073,10.4,0.068874172,0.406803797
0,classifier20,0.759259259,0.271523179,0.4,0.25,9.7,0.064238411,0.279788876
0,classifier19,0.771929825,0.291390728,0.423076923,0.268292683,9.4,0.062251656,0.382249969
0,classifier,0.534653465,0.357615894,0.428571429,0.272727273,5,0.033112583,0.55175372
0,classifier5,0.753623188,0.344370861,0.472727273,0.30952381,8.2,0.054304636,0.450309534
0,classifier21,0.868852459,0.350993377,0.5,0.333333333,9,0.059602649,0.425922168
0,classifier15,0.731707317,0.397350993,0.515021459,0.346820809,6.9,0.045695364,0.470699127
0,classifier18,0.861538462,0.370860927,0.518518519,0.35,8.6,0.056953642,0.441367759
0,classifier202,0.805555556,0.38410596,0.520179372,0.351515152,7.9,0.052317881,0.538894379
0,classifier12,0.820512821,0.42384106,0.558951965,0.387878788,7.3,0.048344371,0.512380952
0,classifier22,0.881578947,0.443708609,0.59030837,0.41875,7.5,0.049668874,0.495436508
0,classifier11,0.723809524,0.503311258,0.59375,0.422222222,4.6,0.030463576,0.534578494
0,classifier4,0.931506849,0.450331126,0.607142857,0.435897436,7.8,0.051655629,0.535640237
0,classifier6,0.829545455,0.483443709,0.610878661,0.439759036,6.3,0.041721854,0.519768024
0,classifier8,0.921052632,0.463576159,0.616740088,0.445859873,7.5,0.049668874,0.553200966
0,classifier2,0.774509804,0.523178808,0.624505929,0.454022989,4.9,0.032450331,0.587742904
0,classifierbayes3,0.844444444,0.503311258,0.630705394,0.460606061,6.1,0.040397351,0.506434892
0,classifier3,0.778846154,0.536423841,0.635294118,0.465517241,4.7,0.031125828,0.535625132
0,classifier23,0,0,,0,15,0.099337748,
0,classifier25,0,0,,0,14.5,0.09602649,
