,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0
0,classifier24,0.142857143,0.006622517,0.012658228,0.006369427,14.4,0.095364238,0.2
0,classifier16,0.3,0.01986755,0.037267081,0.018987342,14.1,0.093377483,0.058924731
0,classifier200,0.9,0.059602649,0.111801242,0.059210526,14.1,0.093377483,0.302489781
0,classifier9,0.789473684,0.099337748,0.176470588,0.096774194,13.2,0.087417219,0.29903303
0,classifier7,0.730769231,0.125827815,0.214689266,0.120253165,12.5,0.082781457,0.421579622
0,classifier14,0.625,0.132450331,0.218579235,0.122699387,11.9,0.078807947,0.228444444
0,classifier17,0.71875,0.152317881,0.25136612,0.14375,11.9,0.078807947,0.253927533
0,classifierBayes1,0.184343434,0.483443709,0.26691042,0.154008439,-24.5,-0.162251656,0.528019413
0,classifier20,0.722222222,0.17218543,0.278074866,0.161490683,11.5,0.07615894,0.225206478
0,classifier10,0.742857143,0.17218543,0.279569892,0.1625,11.6,0.076821192,0.381417888
0,classifier201,0.228215768,0.364238411,0.280612245,0.163204748,-9,-0.059602649,0.500996324
0,classifierBayes2,0.241071429,0.536423841,0.332648871,0.199507389,-18.5,-0.122516556,0.593574969
0,classifierBayes4,0.217391304,0.794701987,0.341394026,0.205831904,-40.1,-0.265562914,0.48938275
0,classifier19,0.85,0.225165563,0.356020942,0.21656051,11.1,0.073509934,0.388942244
0,classifier5,0.733333333,0.291390728,0.417061611,0.263473054,9.1,0.060264901,0.406377481
0,classifier21,0.786885246,0.317880795,0.452830189,0.292682927,9,0.059602649,0.410970062
0,classifier18,0.689189189,0.337748344,0.453333333,0.293103448,7.7,0.050993377,0.397063529
0,classifierBayes5,0.312354312,0.887417219,0.462068966,0.30044843,-27.8,-0.18410596,0.557322935
0,classifier15,0.75,0.337748344,0.465753425,0.303571429,8.3,0.054966887,0.446725027
0,classifier12,0.701298701,0.357615894,0.473684211,0.310344828,7.4,0.049006623,0.489662321
0,classifier,0.447916667,0.569536424,0.501457726,0.33463035,-4.1,-0.027152318,0.563604047
0,classifier6,0.680851064,0.42384106,0.52244898,0.35359116,5.7,0.037748344,0.46787837
0,classifier22,0.75308642,0.40397351,0.525862069,0.356725146,7,0.046357616,0.447954823
0,classifier4,0.821917808,0.397350993,0.535714286,0.365853659,7.8,0.051655629,0.519442264
0,classifier8,0.794871795,0.410596026,0.541484716,0.371257485,7.3,0.048344371,0.511878228
0,classifier11,0.711340206,0.456953642,0.556451613,0.38547486,5.4,0.035761589,0.513834454
0,classifier3,0.654135338,0.57615894,0.612676056,0.441624365,1.8,0.01192053,0.531669741
0,classifier2,0.72972973,0.536423841,0.618320611,0.447513812,4,0.026490066,0.577797699
0,classifier202,0.671641791,0.59602649,0.631578947,0.461538462,1.7,0.011258278,0.557962339
0,classifierBayes3,0.709677419,0.582781457,0.64,0.470588235,2.7,0.017880795,0.520074649
0,classifier13,0,0,,0,14.5,0.09602649,
0,classifier23,,0,,0,15.1,0.1,
0,classifier25,0,0,,0,15,0.099337748,
