,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,2,6,3,1460.5,0.58634442125
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,2,1,0,1388.6666666666667,0.6914894033333333
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,819.0,0.7854622
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar23bS1C5R2_DMr_200x_y.png,1,1,1,841.0,0.6341717099999999
0,Mar26bS2C1R1_LHr_200x_y.png,2,0,0,1478.5,0.5723973099999999
0,Mar27bS1C2R2_LHr_200x_y.png,12,0,1,1484.8333333333333,0.5172865158333334
0,MAR38S1C3R1_DMR_20_o.png,13,12,48,1480.16,0.4566022115999999
0,MAR55S3C2R2_VLPAGR_20_o.png,9,7,11,2025.9375,0.472685825625
