 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.tif:0001-0435,1384,0.70470617,0.08837495,0.78866710,0.44350320,0.82852262,1207.81286127,435.84754335,1207.55636514,435.38972597,234.14927830,1179,398,61,74,88.72207308,19.86161356,122.25095893,0.31721981,89.87213139,975.31334579,0.73744452,-0.95084573,-0.26939411,100,975.31334579,1183,398,124.57419147,27.12478288,4.46701235,0.22386327,0.67315175,-3.403E38,3.4e38,0
2,37_y.tif:0002-0757,591,0.71009539,0.09135995,0.79398856,0.50201905,0.81410336,783.83333333,758.37140440,783.77996565,758.28560359,99.05382387,771,740,26,35,35.83652695,20.99769802,113.87437183,0.75692849,37.00000000,419.66637343,0.74806905,-0.95268777,-0.43017393,100,419.66637343,780,740,108.92464442,21.68233639,1.70668837,0.58593005,0.91415313,-3.403E38,3.4e38,0
3,37_y.tif:0003-0861,887,0.72993757,0.10215261,0.81956428,0.50125360,0.85944057,19.51916573,865.20124014,19.61162266,865.26216654,135.78174593,2,839,34,45,40.69847600,27.74952743,108.34749109,0.60457573,45.89117562,647.45462406,0.76941311,-0.84101241,-0.60734392,100,647.45462406,20,839,101.30993247,32.06830944,1.46663672,0.68183210,0.85247477,-3.403E38,3.4e38,0
4,37_y.tif:0004-1030,740,0.67833703,0.09234966,0.78864439,0.46300450,0.81401002,818.27567568,1032.40405405,818.37520142,1032.62608927,140.85281374,797,1014,41,33,43.24233025,21.78877174,29.27283268,0.46871681,47.80167361,501.96940330,0.69668114,-0.46740175,-1.05458799,100,501.96940330,799,1045,37.34934904,27.49779748,1.98461532,0.50387598,0.74521652,-3.403E38,3.4e38,0
5,37_y.tif:0005-1186,987,0.69306055,0.06578683,0.70782317,0.50143474,0.78322375,463.37234043,1187.40070922,463.60494895,1187.34994386,143.19595949,439,1172,53,28,52.95372865,23.73180251,164.20604494,0.60487480,57.00877125,684.05076379,0.71296227,-1.27915197,0.90400358,100,684.05076379,439,1179,158.38522106,27.23577963,2.23134036,0.44816112,0.89972653,-3.403E38,3.4e38,0
6,37_y.tif,1920000,0.20907549,0.18087788,0.13479415,0.01102426,0.87910897,800.00000000,600.00000000,929.11507733,590.55139878,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,401424.93851898,0.14989278,2.48183365,5.05122897,100,401424.93851898,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
7,Mar19bS1C1R3_VLPAGl_200x_y.tif,1920000,0.06945631,0.03168847,0.04535018,0.01102426,0.54359621,800.00000000,600.00000000,728.20198410,549.45593567,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,133356.11518554,0.06445736,0.97199319,3.99917519,100,133356.11518554,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
8,Mar19bS2C1R1_LHl_200x_y.tif:0001-0043,550,0.69146797,0.08060344,0.76891551,0.50088334,0.83316535,328.62545455,41.62727273,328.75100083,41.52854518,97.25483400,311,32,35,22,35.69044841,19.62098491,167.02895028,0.73071860,36.13862200,380.30738413,0.71034408,-0.59737427,-0.62799260,100,380.30738413,311,36,165.57922687,21.76889100,1.81899372,0.54975451,0.91514143,-3.403E38,3.4e38,0
9,Mar19bS2C1R1_LHl_200x_y.tif:0002-0377,1205,0.73575450,0.10032239,0.80944853,0.49186710,0.86395335,1496.59958506,375.35145228,1496.18669495,375.59738065,156.85281374,1478,355,42,44,43.28690478,35.44382901,87.51332497,0.61547764,47.16990566,886.58417246,0.77406150,-0.86379582,-0.49521130,100,886.58417246,1481,358,122.00538321,40.26998123,1.22128184,0.81881181,0.84236281,-3.403E38,3.4e38,1
10,Mar19bS2C1R1_LHl_200x_y.tif,1920000,0.03306553,0.04372763,0.01940856,0.01102426,0.86957729,800.00000000,600.00000000,859.57817627,630.71587857,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,63485.81716584,0.02393625,12.20928337,190.44435369,100,63485.81716584,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
11,Mar20bS1C1R3_VLPAGl_200x_y.tif:0001-0931,819,0.73429406,0.08637251,0.79031191,0.50100023,0.84468371,1016.70757021,932.73565324,1016.70505064,932.71762985,114.46803743,999,913,34,37,40.57507412,25.70009322,49.99624040,0.78546220,43.60045871,601.38683164,0.76812702,-1.04151973,0.03305927,100,601.38683164,1000,950,53.39292519,27.17423457,1.57879093,0.63339609,0.93386545,-3.403E38,3.4e38,1
