 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.png,973,255.00000000,0.00000000,255,255,255,1197.64902364,261.67677287,1197.64902364,261.67677287,214.00714267,1179,230,36,67,63.72895918,19.43954668,72.60368939,0.26697228,67.74215822,248115.00000000,255,NaN,NaN,100.00000000,248115.00000000,1196,297,81.51105612,28.37666813,3.27831509,0.30503474,0.63887065,0,0,0
2,37_y.png,558,255.00000000,0.00000000,255,255,255,1365.31541219,427.51612903,1365.31541219,427.51612903,179.86500705,1336,414,53,29,41.40648936,17.15836520,158.84349297,0.21674581,58.60034130,142290.00000000,255,NaN,NaN,100.00000000,142290.00000000,1336,416,154.74683661,26.38560213,2.41319548,0.41438831,0.56822811,0,0,0
3,37_y.png,200,255.00000000,0.00000000,255,255,255,1483.88500000,422.48500000,1483.88500000,422.48500000,61.59797975,1473,415,24,14,23.47846132,10.84602204,158.17295400,0.66237956,25.63201124,51000.00000000,255,NaN,NaN,100.00000000,51000.00000000,1473,419,159.44395478,12.49432304,2.16470714,0.46195625,0.87336245,0,0,0
4,37_y.png,297,255.00000000,0.00000000,255,255,255,1066.16329966,818.20370370,1066.16329966,818.20370370,109.19595949,1053,808,26,24,24.37100251,15.51647884,156.43879119,0.31300637,30.61045573,75735.00000000,255,NaN,NaN,100.00000000,75735.00000000,1055,808,128.36748538,20.68129590,1.57065290,0.63667791,0.66368715,0,0,0
5,37_y.png,285,255.00000000,0.00000000,255,255,255,146.07192982,1008.77368421,146.07192982,1008.77368421,82.91168825,131,1001,32,15,31.68211008,11.45357015,164.24927023,0.52098259,34.53983208,72675.00000000,255,NaN,NaN,100.00000000,72675.00000000,131,1002,157.89055166,13.58199500,2.76613402,0.36151538,0.84070796,0,0,0
6,37_y.png,1920000,0.30719531,8.84536469,0,0,255,800.00000000,600.00000000,1116.39277994,479.10484220,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,589815.00000000,0,28.75920717,825.09199732,0.12046875,589815.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
7,Mar19bS1C1R3_VLPAGl_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0.00000000,0,NaN,NaN,0.00000000,0.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
8,Mar19bS2C1R1_LHl_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0.00000000,0,NaN,NaN,0.00000000,0.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
9,Mar20bS1C1R3_VLPAGl_200x_y.png,249,255.00000000,0.00000000,255,255,255,1011.95381526,933.10240964,1011.95381526,933.10240964,82.08326112,1003,917,19,30,31.82004999,9.96342390,66.32595967,0.46440834,34.13209633,63495.00000000,255,NaN,NaN,100.00000000,63495.00000000,1004,946,58.17255342,12.01665511,3.19368626,0.31311780,0.79935795,0,0,0
10,Mar20bS1C1R3_VLPAGl_200x_y.png,1920000,0.03307031,2.90376315,0,0,255,800.00000000,600.00000000,1011.95381526,933.10240964,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,63495.00000000,0,87.79432501,7705.84350320,0.01296875,63495.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
11,Mar23bS1C1R4_VLPAGl_200x_y.png,225,255.00000000,0.00000000,255,255,255,1232.77555556,19.90888889,1232.77555556,19.90888889,93.98275606,1215,12,33,16,31.98881855,8.95559482,169.77102862,0.32010763,33.95585369,57375.00000000,255,NaN,NaN,100.00000000,57375.00000000,1215,19,166.37300514,11.98147332,3.57193678,0.27996016,0.62413315,0,0,0
