 ,Label,Area,Mean,Min,Max,X,Y,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,95.582,68.530,0
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,143.157,38.866,0
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,14.425,72.448,0
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,47.634,38.306,0
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,36.254,20.955,0
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,21.142,84.201,0
7,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,126.925,125.619,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F2b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,57.709,124.127,0
9,BKO-426-S42-Iba-Syn-Cortex-10x-F3b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,38.679,76.925,1
10,BKO-426-S42-Iba-Syn-Cortex-10x-F3b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,88.866,38.306,0
11,BKO-426-S42-Iba-Syn-Cortex-10x-F3b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,138.119,46.328,0
12,BKO-426-S42-Iba-Syn-Cortex-10x-F3b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,133.828,97.821,0
13,BKO-426-S42-Iba-Syn-Cortex-10x-F3b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,6.590,114.985,0
14,BKO-426-S42-Iba-Syn-Cortex-10x-F3b_XY1562195173_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,69.276,3.604,0
15,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2-1.roi,0,0,0,0,45.955,18.716,0
16,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2-1.roi,0,0,0,0,14.985,115.545,0
17,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2-1.roi,0,0,0,0,82.709,93.157,0
18,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2-1.roi,0,0,0,0,133.269,135.321,0
19,BKO-460-S57-Iba-Syn-Cortex-10x-F1b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,72.075,25.993,0
20,BKO-460-S57-Iba-Syn-Cortex-10x-F1b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,12.187,36.067,0
21,BKO-460-S57-Iba-Syn-Cortex-10x-F1b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1-1.roi,0,0,0,0,45.769,130.097,0
22,BKO-460-S57-Iba-Syn-Cortex-10x-F2b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2-1.roi,0,0,0,0,79.537,80.284,0
23,BKO-460-S57-Iba-Syn-Cortex-10x-F2b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2-1.roi,0,0,0,0,118.530,36.254,0
24,BKO-460-S57-Iba-Syn-Cortex-10x-F2b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2-1.roi,0,0,0,0,62.746,103.231,0
25,BKO-460-S57-Iba-Syn-Cortex-10x-F3b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,18.343,95.396,0
26,BKO-460-S57-Iba-Syn-Cortex-10x-F3b_XY1562191217_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3-1.roi,0,0,0,0,119.090,75.246,0
27,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,121,255,255,255,0.000,0.000,0
28,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,187,255,255,255,0.000,0.000,0
29,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,21,255,255,255,0.000,0.000,0
30,BKO-428-S42-Iba-Syn-Cortex-10x-F3a_XY1561767178_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,21,255,255,255,0.000,0.000,0
31,BKO-428-S42-Iba-Syn-Cortex-10x-F3a_XY1561767178_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,25,255,255,255,0.000,0.000,0
32,BKO-428-S42-Iba-Syn-Cortex-10x-F3a_XY1561767178_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,484,255,255,255,0.000,0.000,0
33,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,139,255,255,255,0.000,0.000,0
34,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,21,255,255,255,0.000,0.000,0
35,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,310,255,255,255,0.000,0.000,0
36,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,216,255,255,255,0.000,0.000,0
37,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,40,255,255,255,0.000,0.000,0
38,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,21,255,255,255,0.000,0.000,0
39,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,212,255,255,255,0.000,0.000,0
40,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,231,255,255,255,0.000,0.000,0
41,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,303,255,255,255,0.000,0.000,0
