,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,2,13,3,731.2,0.146643106
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,0,2,2,590.5,0.35784539
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,591.0,0.28310807
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,5,0,516.0,0.103858166
0,Mar23bS1C5R2_DMr_200x_y.png,0,1,2,531.0,0.27023836
0,Mar26bS2C1R1_LHr_200x_y.png,1,1,1,754.0,0.243799955
0,Mar27bS1C2R2_LHr_200x_y.png,9,1,4,896.8,0.305284516
0,MAR38S1C3R1_DMR_20_o.png,47,5,14,823.3461538461538,0.2748748196153846
0,MAR55S3C2R2_VLPAGR_20_o.png,14,3,6,822.1764705882352,0.2779386047058824
