,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,2,20,3,438.6818181818182,0.29321153727272725
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,0,3,2,564.0,0.5098390966666667
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,705.0,0.68431143
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,12,0,364.3333333333333,0.2078632933333333
0,Mar23bS1C5R2_DMr_200x_y.png,1,2,1,469.3333333333333,0.40695080666666666
0,Mar26bS2C1R1_LHr_200x_y.png,1,3,1,585.0,0.3711811675
0,Mar27bS1C2R2_LHr_200x_y.png,3,6,10,541.8888888888889,0.4117608977777778
0,MAR38S1C3R1_DMR_20_o.png,33,8,28,567.170731707317,0.4626306960975609
0,MAR55S3C2R2_VLPAGR_20_o.png,11,1,9,634.75,0.5309090550000001
