 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.png,202,255.00000000,0.00000000,255,255,255,1295.32673267,792.17821782,1295.32673267,792.17821782,69.84062043,1286,780,19,23,23.58152112,10.90660720,57.02336703,0.52040931,26.17250466,51510,255,NaN,NaN,100.00000000,51510,1286,799,46.54815770,12.88346252,2.16213170,0.46250652,0.79371316,0,0,0
2,37_y.png,121,255.00000000,0.00000000,255,255,255,1286.59090909,805.85537190,1286.59090909,805.85537190,51.59797975,1277,800,18,12,16.42706967,9.37854335,2.45642901,0.57112325,18.43908891,30855,255,NaN,NaN,100.00000000,30855,1277,808,12.52880771,11.10017445,1.75155875,0.57092004,0.78827362,0,0,0
3,37_y.png,192,255.00000000,0.00000000,255,255,255,1488.39583333,865.00520833,1488.39583333,865.00520833,110.71067812,1478,852,19,25,23.31892740,10.48341497,56.59335572,0.19684848,30.23243292,48960,255,NaN,NaN,100.00000000,48960,1480,877,55.78429787,17.42623940,2.22436367,0.44956677,0.58715596,0,0,0
4,37_y.png,193,255.00000000,0.00000000,255,255,255,1469.17357513,871.38601036,1469.17357513,871.38601036,82.08326112,1459,864,20,14,19.22907837,12.77935570,177.15164939,0.35996309,21.54065923,49215,255,NaN,NaN,100.00000000,49215,1459,869,158.19859051,14.00000000,1.50469858,0.66458493,0.83369330,0,0,0
5,37_y.png,204,255.00000000,0.00000000,255,255,255,1430.41176471,917.37254902,1430.41176471,917.37254902,65.25483400,1420,909,22,16,20.44786753,12.70258949,152.40903289,0.60202518,22.36067977,52020,255,NaN,NaN,100.00000000,52020,1420,914,169.69515353,14.31083506,1.60974009,0.62121830,0.82926829,0,0,0
6,37_y.png,133,255.00000000,0.00000000,255,255,255,1416.95112782,937.11654135,1416.95112782,937.11654135,56.66904756,1407,931,20,14,17.79482657,9.51629727,160.72784039,0.52043881,21.18962010,33915,255,NaN,NaN,100.00000000,33915,1407,932,160.70995378,12.33288287,1.86993177,0.53477887,0.75568182,0,0,0
7,37_y.png,1920000,0.13878906,5.94743364,0,0,255,800.00000000,600.00000000,1403.74593301,864.65789474,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,266475,0,42.82897522,1832.32111873,0.05442708,266475,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
8,Mar19bS1C1R3_VLPAGl_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0,0,NaN,NaN,0.00000000,0,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
9,Mar19bS2C1R1_LHl_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0,0,NaN,NaN,0.00000000,0,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
10,Mar20bS1C1R3_VLPAGl_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0,0,NaN,NaN,0.00000000,0,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
11,Mar23bS1C1R4_VLPAGl_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0,0,NaN,NaN,0.00000000,0,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
12,Mar23bS1C5R2_DMr_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0,0,NaN,NaN,0.00000000,0,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
13,Mar26bS2C1R1_LHr_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0,0,NaN,NaN,0.00000000,0,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
14,Mar27bS1C2R2_LHr_200x_y.png,1920000,0.00000000,0.00000000,0,0,0,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0,0,NaN,NaN,0.00000000,0,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0,255,0
15,MAR38S1C3R1_DMR_20_o.png,255,255.00000000,0.00000000,255,255,255,855.00588235,200.45686275,855.00588235,200.45686275,70.76955262,843,193,26,16,25.90114563,12.53520167,6.42116393,0.63981902,26.68332813,65025,255,NaN,NaN,100.00000000,65025,843,198,167.00538321,13.92424559,2.06627275,0.48396321,0.81339713,0,0,0
16,MAR38S1C3R1_DMR_20_o.png,118,255.00000000,0.00000000,255,255,255,1236.04237288,544.81355932,1236.04237288,544.81355932,51.94112550,1227,540,18,10,16.74053261,8.97476023,166.26015711,0.54962839,19.31320792,30090,255,NaN,NaN,100.00000000,30090,1227,542,158.74949449,10.00000000,1.86529023,0.53610960,0.81099656,0,0,1
17,MAR38S1C3R1_DMR_20_o.png,165,255.00000000,0.00000000,255,255,255,1296.23333333,644.52424242,1296.23333333,644.52424242,60.08326112,1286,637,19,16,15.43751523,13.60870074,6.45137540,0.57436348,19.10497317,42075,255,NaN,NaN,100.00000000,42075,1286,643,6.00900596,15.10023978,1.13438568,0.88153440,0.80097087,0,0,0
