 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,85,255,0,255,255,255,23.81764706,21.62941176,23.81764706,21.62941176,37.94112550,17,17,14,11,13.08584656,8.27041345,35.39559844,0.74200763,15.23154621,21675,255,NaN,NaN,100,21675,17,24,23.19859051,9.19238816,1.58224817,0.63201211,0.82524272,1
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,154,255,0,255,255,255,68.29220779,52.87662338,68.29220779,52.87662338,47.45584412,62,45,12,16,16.84915840,11.63731062,76.33781890,0.85931260,17.88854382,39270,255,NaN,NaN,100,39270,65,61,63.43494882,12.00000000,1.44785672,0.69067608,0.92771084,1
3,BKO-428-S42-Iba-Syn-Cortex-10x-F3a_XY1561767178_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,231,255,0,255,255,255,44.85497835,32.85930736,44.85497835,32.85930736,77.01219331,37,20,15,27,28.83333206,10.20063634,104.07881538,0.48944383,29.52964612,58905,255,NaN,NaN,100,58905,37,21,118.30075577,12.32992405,2.82662092,0.35377931,0.78705281,1
4,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,98,255,0,255,255,255,49.36734694,25.53061224,49.36734694,25.53061224,48.62741700,46,14,7,20,19.61435646,6.36153807,93.21257243,0.52080307,20.22374842,24990,255,NaN,NaN,100,24990,48,34,81.46923439,7.00000000,3.08327267,0.32433071,0.83404255,1
5,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,199,255,0,255,255,255,18.30402010,35.64572864,18.30402010,35.64572864,79.15432893,10,22,20,23,23.42606009,10.81593185,52.84116235,0.39912929,29.20616373,50745,255,NaN,NaN,100,50745,12,45,51.95295747,13.86362146,2.16588459,0.46170512,0.75236295,1
6,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,130,255,0,255,255,255,72.82307692,72.38461538,72.82307692,72.38461538,47.11269837,66,66,15,12,14.98974645,11.04229090,167.23505717,0.73599906,16.55294536,33150,255,NaN,NaN,100,33150,66,67,154.98310652,12.00000000,1.35748520,0.73665628,0.87542088,1
7,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,35,255,0,255,255,255,2.21428571,37.64285714,2.21428571,37.64285714,23.89949494,0,34,5,9,8.85293335,5.03374218,73.96299956,0.77001726,10.29563014,8925,255,NaN,NaN,100,8925,0,43,60.94539590,5.00000000,1.75871807,0.56859597,0.94594595,0
8,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,155,255,0,255,255,255,74.91935484,16.03548387,74.91935484,16.03548387,50.76955262,68,7,15,17,15.66018182,12.60216080,76.73901009,0.75567471,17.46424920,39525,255,NaN,NaN,100,39525,70,24,76.75948008,14.70871014,1.24265847,0.80472634,0.84931507,1
9,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,194,255,0,255,255,255,21.55670103,20.38144330,21.55670103,20.38144330,55.11269837,13,12,17,17,19.99131618,12.35578835,52.20000182,0.80261680,21.26029163,49470,255,NaN,NaN,100,49470,13,27,41.18592517,12.75810451,1.61797172,0.61805777,0.90232558,1
10,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,185,255,0,255,255,255,9.40810811,61.86216216,9.40810811,61.86216216,59.11269837,4,50,12,23,23.36391029,10.08175913,84.48838094,0.66530383,23.76972865,47175,255,NaN,NaN,100,47175,6,73,75.37912601,11.34342397,2.31744381,0.43150992,0.86651054,1
