 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.png,1920000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0.00000000,0.00000000,NaN,NaN,0.00000000,0.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
2,Mar19bS1C1R3_VLPAGl_200x_y.png,1920000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0.00000000,0.00000000,NaN,NaN,0.00000000,0.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
3,Mar19bS2C1R1_LHl_200x_y.tif:0001-0343,276,0.52303595,0.02040691,0.52429497,0.45665056,0.58351481,44.26449275,345.91304348,44.23350270,345.94509039,157.96551211,29,333,34,21,30.67720320,11.45522009,169.04604819,0.13899347,36.67424164,144.35792276,0.51966298,0.42278392,0.31351481,100.00000000,144.35792276,30,335,154.13364321,18.19814314,2.67801081,0.37341149,0.53384913,-3.403E38,3.4e38,0
4,Mar19bS2C1R1_LHl_200x_y.tif:0002-0347,38,0.51797134,0.01721094,0.50020435,0.50006771,0.57002914,67.63157895,348.84210526,67.64610934,348.87812776,45.94112550,64,340,8,15,9.73970468,4.96761496,107.64537246,0.22625084,15.52417470,19.68291080,0.51291847,1.20047074,0.89421773,100.00000000,19.68291080,67,340,104.93141718,8.00000000,1.96064002,0.51003753,0.48407643,-3.403E38,3.4e38,0
5,Mar19bS2C1R1_LHl_200x_y.png,1920000,0.04170313,3.26076115,0.00000000,0.00000000,255.00000000,800.00000000,600.00000000,47.09235669,346.26751592,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,80070.00000000,0.00000000,78.17704168,6109.64984510,0.01635417,80070.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
6,Mar20bS1C1R3_VLPAGl_200x_y.tif:0001-0937,104,0.52291023,0.01903424,0.50140520,0.48840445,0.57485098,1010.53846154,938.39423077,1010.50748378,938.40934418,94.71067812,1001,927,17,20,15.83886727,8.36025142,52.88068948,0.14569522,24.41311123,54.38266391,0.52061617,0.66317485,-0.03517767,100.00000000,54.38266391,1001,947,55.00797980,13.31280471,1.89454437,0.52783140,0.49880096,-3.403E38,3.4e38,0
7,Mar20bS1C1R3_VLPAGl_200x_y.png,1920000,0.01381250,1.87669884,0.00000000,0.00000000,255.00000000,800.00000000,600.00000000,1010.53846154,938.39423077,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,26520.00000000,0.00000000,135.86220415,18456.53851571,0.00541667,26520.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,1
8,Mar23bS1C1R4_VLPAGl_200x_y.png,1920000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0.00000000,0.00000000,NaN,NaN,0.00000000,0.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
9,Mar23bS1C5R2_DMr_200x_y.tif:0001-1034,152,0.52312923,0.02506601,0.50798254,0.41462764,0.59100294,664.98684211,1032.51973684,665.02335350,1032.53690403,97.05382387,652,1026,23,16,21.43253645,9.02984167,149.45184076,0.20278142,26.41968963,79.51564223,0.51977110,-0.10702417,1.68577076,100.00000000,79.51564223,652,1029,150.52411100,12.96919427,2.37352295,0.42131465,0.64957265,-3.403E38,3.4e38,0
10,Mar23bS1C5R2_DMr_200x_y.png,1920000,0.02018750,2.26878991,0.00000000,0.00000000,255.00000000,800.00000000,600.00000000,664.98684211,1032.51973684,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,38760.00000000,0.00000000,112.37695060,12626.57902654,0.00791667,38760.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
11,Mar26bS2C1R1_LHr_200x_y.png,1920000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,800.00000000,600.00000000,800.00000000,600.00000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,0.00000000,0.00000000,NaN,NaN,0.00000000,0.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
12,Mar27bS1C2R2_LHr_200x_y.tif:0001-0213,41,0.51099080,0.01466530,0.50623188,0.46905464,0.53727955,388.81707317,213.32926829,388.82455559,213.33127865,37.69848481,385,207,8,13,11.36476942,4.59339028,74.04577217,0.36253165,13.03840481,20.95062280,0.51043952,-0.52500434,0.50400991,100.00000000,20.95062280,389,207,94.39870535,6.95701085,2.47415716,0.40417804,0.59420290,-3.403E38,3.4e38,0
13,Mar27bS1C2R2_LHr_200x_y.tif:0002-0218,123,0.52069330,0.01863973,0.51526061,0.47927111,0.57996303,410.19918699,219.13414634,410.21944025,219.16005879,105.43860018,398,210,25,16,18.16786692,8.62007988,23.15759324,0.13903230,25.96150997,64.04527584,0.51651442,0.85486409,0.50120643,100.00000000,64.04527584,398,218,15.64224646,12.36651807,2.10762164,0.47446846,0.51464435,-3.403E38,3.4e38,0
14,Mar27bS1C2R2_LHr_200x_y.tif:0003-0255,22,0.51816811,0.01849551,0.50131130,0.50015163,0.56612378,1110.22727273,256.00000000,1110.25014209,256.00495771,35.69848481,1106,252,9,7,7.16577101,3.90903783,173.30782381,0.21693667,10.00000000,11.39969832,0.51170719,1.23735868,0.77822525,100.00000000,11.39969832,1106,252,143.13010235,6.54846188,1.83312910,0.54551532,0.45833333,-3.403E38,3.4e38,0
15,Mar27bS1C2R2_LHr_200x_y.tif:0004-0260,32,0.52241663,0.01645970,0.50866224,0.50184643,0.56306916,1116.84375000,259.18750000,1116.82579101,259.21303464,33.21320344,1113,255,9,10,10.21372897,3.98910775,45.95643199,0.36453423,13.45362405,16.71733230,0.51861846,0.90342718,0.02349897,100.00000000,16.71733230,1113,265,48.01278750,6.36396103,2.56040438,0.39056331,0.59813084,-3.403E38,3.4e38,0
16,Mar27bS1C2R2_LHr_200x_y.png,1920000,0.02895312,2.71702272,0.00000000,0.00000000,255.00000000,800.00000000,600.00000000,580.55045872,227.64220183,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,55590.00000000,0.00000000,93.83144229,8802.33956310,0.01135417,55590.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
17,MAR38S1C3R1_DMR_20_o.tif:0001-0862,49,0.51437001,0.01338544,0.50058405,0.48969638,0.54488933,811.84693878,861.72448980,811.84636285,861.72166028,39.69848481,808,856,7,12,11.68413278,5.33961218,82.66978287,0.39071320,12.64911064,25.20413062,0.51179713,0.31737875,-0.75697919,100.00000000,25.20413062,811,868,71.56505118,7.00000000,2.18819876,0.45699688,0.72592593,-3.403E38,3.4e38,1
18,MAR38S1C3R1_DMR_20_o.png,1920000,0.00650781,1.28819669,0.00000000,0.00000000,255.00000000,800.00000000,600.00000000,811.84693878,861.72448980,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,12495.00000000,0.00000000,197.94108592,39178.67349491,0.00255208,12495.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
19,MAR55S3C2R2_VLPAGR_20_o.tif:0001-0346,192,0.52243073,0.01481112,0.52481669,0.48886374,0.55832756,1375.14062500,344.78125000,1375.12115443,344.77377784,79.39696962,1365,338,19,16,16.91019724,14.45648381,22.00710165,0.38273946,20.51828453,100.30670080,0.52309287,0.21268419,-0.52390722,100.00000000,100.30670080,1369,353,43.02506599,16.00000000,1.16973100,0.85489741,0.77890467,-3.403E38,3.4e38,0
20,MAR55S3C2R2_VLPAGR_20_o.tif:0002-0368,57,0.52616583,0.02149521,0.50095380,0.49512756,0.57575011,959.41228070,368.11403509,959.43281564,368.11620962,41.69848481,952,363,16,10,17.10636627,4.24255233,152.29014490,0.41194968,18.35755975,29.99145216,0.52396393,0.43164088,-0.97110189,100.00000000,29.99145216,952,363,150.64224646,5.81377674,4.03209317,0.24801014,0.71698113,-3.403E38,3.4e38,0
21,MAR55S3C2R2_VLPAGR_20_o.tif:0003-0379,103,0.51619152,0.01225935,0.50129069,0.50028557,0.55746609,955.89805825,378.75242718,955.89213724,378.78203655,71.74011537,950,371,13,17,13.86603609,9.45790652,101.05077902,0.25149129,17.46424920,53.16772705,0.51363754,1.04272220,0.86488748,100.00000000,53.16772705,954,371,103.24051992,12.08397583,1.46607878,0.68209158,0.68438538,-3.403E38,3.4e38,0
22,MAR55S3C2R2_VLPAGR_20_o.png,1920000,0.04675000,3.45240071,0.00000000,0.00000000,255.00000000,800.00000000,600.00000000,1185.14488636,358.50000000,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,89760.00000000,0.00000000,73.83458294,5449.54563791,0.01833333,89760.00000000,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,0.00000000,255.00000000,0
