 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,1864,255,0,255,255,255,35.35246781,43.70922747,35.35246781,43.70922747,287.46298680,8,0,57,92,82.37973666,28.80949378,70.18414422,0.28346008,97.08243919,475320,255,NaN,NaN,100,475320,20,92,71.37842063,47.42686678,2.85946491,0.34971578,0.57834316,4
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,308,255,0,255,255,255,140.94805195,41.00324675,140.94805195,41.00324675,69.11269837,128,31,22,19,22.72437599,17.25714185,32.90658549,0.81029821,26.07680962,78540,255,NaN,NaN,100,78540,128,45,32.47119229,18.34121043,1.31680994,0.75941103,0.93617021,1
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,33,255,0,255,255,255,3.31818182,41.50000000,3.31818182,41.50000000,20.48528137,0,39,7,5,7.62006364,5.51398347,0.00000000,0.98818882,8.06225775,8415,255,NaN,NaN,100,8415,0,39,150.25511870,5.00000000,1.38195257,0.72361383,0.97058824,0
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,268,255,0,255,255,255,101.38059701,67.31343284,101.38059701,67.31343284,68.66904756,90,59,23,16,24.12665390,14.14320442,9.14295023,0.71420455,24.04163056,68340,255,NaN,NaN,100,68340,90,71,16.92751306,15.20526225,1.70588314,0.58620663,0.87725041,1
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,546,255,0,255,255,255,122.93040293,118.75274725,122.93040293,118.75274725,118.12489168,105,100,41,33,44.53340047,15.61050322,139.11668325,0.49172202,48.02082881,139230,255,NaN,NaN,100,139230,105,101,148.62699486,20.49804286,2.85278443,0.35053472,0.76363636,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,331,255,0,255,255,255,57.25226586,124.68731118,57.25226586,124.68731118,77.01219331,47,113,19,23,23.62908626,17.83574213,102.81289522,0.70132428,26.92582404,84405,255,NaN,NaN,100,84405,50,113,121.32869287,19.00000000,1.32481654,0.75482149,0.86649215,1
7,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,62,255,0,255,255,255,70.00000000,2.88709677,70.00000000,2.88709677,30.97056275,64,0,12,7,11.07234436,7.12955172,0.00000000,0.81227551,12.16552506,15810,255,NaN,NaN,100,15810,64,0,170.53767779,7.00000000,1.55302111,0.64390625,0.92537313,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,535,255,0,255,255,255,91.94112150,36.09065421,91.94112150,36.09065421,93.74011537,79,20,26,32,35.72081161,19.06964388,62.67987491,0.76509027,36.71511950,136425,255,NaN,NaN,100,136425,85,52,60.64224646,20.71380068,1.87317665,0.53385248,0.92003439,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,431,255,0,255,255,255,139.58584687,45.44199536,139.58584687,45.44199536,78.87005769,128,34,22,23,26.08003180,21.04162480,138.20480934,0.87068852,29.83286778,109905,255,NaN,NaN,100,109905,131,34,129.55966797,22.00000000,1.23944952,0.80680978,0.96205357,1
10,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,268,255,0,255,255,255,37.73507463,75.52611940,37.73507463,75.52611940,58.76955262,29,66,18,19,19.96570646,17.09071496,126.13981838,0.97507919,21.02379604,68340,255,NaN,NaN,100,68340,33,66,115.34617594,16.97056275,1.16821950,0.85600352,0.96057348,1
