 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.tif:0001-0157,257,0.98694592,0.06684530,0.99910016,0.53928226,1,1038.40272374,157.84241245,1038.42919387,157.85225720,109.29646456,1031,141,15,32,27.91631295,11.72155376,99.70935975,0.27035273,32.55764119,253.64510107,1,-5.56776566,30.59970257,100,253.64510107,1033,141,100.61965528,14.90482627,2.38162223,0.41988187,0.67989418,-3.403E38,3.4e38,0
2,37_y.tif:0002-0218,309,0.99350039,0.04553129,0.99909800,0.53817445,1,453.57766990,220.16343042,453.57799852,220.17718094,126.12489168,447,194,12,48,47.18511379,8.33803265,86.11917814,0.24409941,48.83646179,306.99162197,1,-8.24307308,69.82676993,100,306.99162197,449,242,79.38034472,12.00000000,5.65902243,0.17670897,0.67028200,-3.403E38,3.4e38,0
3,37_y.tif:0003-0223,567,0.99587506,0.03781436,0.99906577,0.52167630,1,960.28659612,225.74162257,960.30203957,225.73831413,170.65180362,937,195,46,57,64.43496009,11.20396165,46.91124613,0.24466461,67.95586803,564.66115952,1,-10.29649704,109.18278326,100,564.66115952,942,252,57.01147839,15.94818539,5.75108717,0.17388017,0.58574380,-3.403E38,3.4e38,0
4,37_y.tif:0004-0319,578,0.99256131,0.05853475,0.99810435,0.02942707,1,20.51730104,319.45501730,20.50325900,319.45219235,158.65180362,0,308,54,23,47.18284383,15.59745868,165.38912865,0.28856767,56.04462508,573.70043739,1,-10.97366799,145.62803700,100,573.70043739,0,310,164.47588900,20.75275090,3.02503407,0.33057479,0.67920094,-3.403E38,3.4e38,0
5,37_y.tif:0005-0435,2372,0.99111445,0.07238972,0.99804688,0.00000308,1,1212.26391231,437.45699831,1212.15283098,437.37389530,381.97265479,1176,393,96,84,96.27000200,31.37139438,129.30552487,0.20429607,118.84864324,2350.92347289,1,-10.53130843,122.83396771,100,2350.92347289,1179,397,141.49077163,44.74771015,3.06871926,0.32586885,0.59597990,-3.403E38,3.4e38,0
6,37_y.tif:0006-0459,448,0.97393880,0.14163305,0.99804688,0.00000149,1,686.94419643,457.57589286,687.05788456,457.58735319,156.55129855,671,443,29,33,27.88953463,20.45252184,76.45691569,0.22970716,33.83784863,436.32458317,1,-6.15236358,37.75579020,100,436.32458317,679,444,108.97040781,28.17445652,1.36362327,0.73334038,0.61750517,-3.403E38,3.4e38,0
7,37_y.tif:0007-0482,396,0.99591265,0.03327058,0.99907527,0.52654064,1,924.26515152,481.14898990,924.26104964,481.15646375,80.32590181,912,470,25,24,22.92313520,21.99537085,170.15630380,0.77124761,25.63201124,394.38141072,1,-10.51991431,123.18525298,100,394.38141072,918,470,110.55604522,23.11660352,1.04217998,0.95952716,0.88789238,-3.403E38,3.4e38,0
8,37_y.tif:0008-0539,1342,0.99067888,0.07213196,0.99804688,0.00000320,1,839.45603577,534.48658718,839.40346201,534.53252376,296.33304448,819,500,47,78,71.84961696,23.78144159,68.81989952,0.19204465,78.63841301,1329.49105600,1,-10.27723718,120.58517167,100,1329.49105600,831,578,82.69424047,34.03645037,3.02124733,0.33098912,0.65978368,-3.403E38,3.4e38,0
9,37_y.tif:0009-0568,255,0.99669874,0.02774367,0.99937642,0.68072474,1,625.37843137,568.42941176,625.37365197,568.42018276,67.94112550,616,558,17,20,21.87750172,14.84063803,67.03182397,0.69419994,23.43074903,254.15817982,1,-9.44620784,91.83357948,100,254.15817982,617,576,50.19442891,16.54690303,1.47416180,0.67835159,0.89005236,-3.403E38,3.4e38,0
10,37_y.tif:0010-0584,547,0.93691010,0.22587858,0.99804688,1.230E-22,1,781.43967093,586.60603291,781.51895207,586.64491496,104.71067812,766,571,32,27,29.69407912,23.45457585,168.45373439,0.62692451,33.01514804,512.48982640,1,-3.66742510,11.93356202,100,512.48982640,771,576,144.86580694,26.79201948,1.26602499,0.78987382,0.86894361,-3.403E38,3.4e38,0
11,37_y.tif:0011-0612,294,0.98555259,0.08492254,0.99807140,0.01255753,1,1101.19047619,613.30612245,1101.16806604,613.25907127,122.85281374,1082,602,41,21,38.26794377,9.78187980,157.01359404,0.24478623,42.20189569,289.75246053,1,-7.80320527,70.68418616,100,289.75246053,1082,608,166.29303900,13.46271745,3.91212574,0.25561551,0.60995851,-3.403E38,3.4e38,0
