,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,2,9,4,505.72727272727275,0.45715792090909085
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,1,0,7,1758.0,0.74320402
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,443.0,0.62247254
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,2,5,307.5,0.398264325
0,Mar23bS1C5R2_DMr_200x_y.png,1,0,12,275.0,0.61981393
0,Mar26bS2C1R1_LHr_200x_y.png,2,0,6,569.5,0.3878913
0,Mar27bS1C2R2_LHr_200x_y.png,7,1,22,687.0,0.52172731
0,MAR38S1C3R1_DMR_20_o.png,48,2,12,1121.54,0.576335927
0,MAR55S3C2R2_VLPAGR_20_o.png,14,0,7,1203.4285714285713,0.6526768528571429
