 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.tif:0001-0414,674,0.98644523,0.10450903,0.99804688,0.00000323,1,1487.03115727,417.10534125,1486.96694605,417.21599980,121.53910524,1470,397,32,35,32.59726383,26.32624191,78.91355303,0.57337360,36.68787266,664.86408422,1,-8.73013497,77.28081289,100.00000000,664.86408422,1487,397,107.44718842,31.59244781,1.23820422,0.80762122,0.80863827,-3.403E38,3.4e38,0
2,37_y.tif:0002-0410,314,0.99584166,0.03825107,0.99905958,0.51850301,1,1457.31847134,411.07006369,1457.32135181,411.07463370,69.01219331,1444,401,24,19,22.34284096,17.89375029,14.32199888,0.82849111,24.18677324,312.69428247,1,-10.12556774,106.83139651,100.00000000,312.69428247,1444,414,7.12501635,19.00000000,1.24863936,0.80087176,0.92625369,-3.403E38,3.4e38,0
3,37_y.tif:0003-0422,514,0.99946801,0.00728825,0.99975160,0.87282038,1,1534.24708171,419.50194553,1534.24487418,419.49964196,104.46803743,1520,404,28,36,37.18872010,17.59794702,61.26434077,0.59184245,39.96248241,513.72655636,1,-15.83534431,254.36470074,100.00000000,513.72655636,1522,439,58.29857033,22.33933790,2.11324196,0.47320658,0.80000000,-3.403E38,3.4e38,0
4,37_y.tif:0004-0438,337,0.99328297,0.06641233,0.99804688,0.00000074,1,1576.06379822,439.45252226,1576.06972269,439.44824355,98.22539674,1562,425,31,27,34.34762104,12.49232738,135.32182144,0.43892688,39.20459157,334.73636230,1,-12.21183775,162.35713662,100.00000000,334.73636230,1562,428,142.25319461,16.97056275,2.74949735,0.36370284,0.74310915,-3.403E38,3.4e38,0
5,37_y.tif:0005-0465,651,0.99692254,0.02981517,0.99917108,0.57559359,1,1491.28801843,466.24807988,1491.26446415,466.25240993,218.00714267,1470,443,41,44,32.87624833,25.21209036,55.95293466,0.17212716,48.02082881,648.99657333,1,-11.05931942,127.74460292,100.00000000,648.99657333,1470,471,31.37300514,35.41750979,1.30398741,0.76687857,0.51996805,-3.403E38,3.4e38,0
6,37_y.tif:0006-0473,319,0.99304309,0.06728462,0.99804714,0.00013332,1,1592.63166144,475.88871473,1592.63275120,475.92621284,98.32590181,1578,457,22,33,31.55167382,12.87295936,64.65768322,0.41463377,39.66106403,316.78074448,1,-11.90742323,157.31368035,100.00000000,316.78074448,1578,490,56.30993247,16.70425181,2.45100392,0.40799608,0.78862794,-3.403E38,3.4e38,0
7,37_y.tif:0007-0654,541,0.99992858,0.00151419,0.99993135,0.96484905,1,1375.10443623,651.12476895,1375.10335373,651.12348386,132.85281374,1361,630,32,49,48.20984511,14.28800678,116.14025247,0.38518167,52.92447449,540.96136248,1,-23.05247127,531.44834361,100.00000000,540.96136248,1370,630,112.20347853,19.63129423,3.37414769,0.29637114,0.70168612,-3.403E38,3.4e38,0
8,37_y.tif:0008-0734,653,0.99729252,0.02791068,0.99919172,0.58616000,1,1458.36370597,735.51531394,1458.30252392,735.50988796,207.82337649,1415,724,87,21,63.84951189,13.02164101,179.58557359,0.18999154,87.09190548,651.23201746,1,-12.41183770,161.44164332,100.00000000,651.23201746,1415,735,177.36756513,20.73932144,4.90333836,0.20394269,0.59363636,-3.403E38,3.4e38,0
9,37_y.tif:0009-0760,271,0.99539580,0.05028001,0.99849933,0.23165545,1,1562.70295203,756.92435424,1562.69198968,756.90697387,94.08326112,1556,741,13,38,35.47986608,9.72517528,91.73543081,0.38472856,38.20994635,269.75226232,1,-13.74299769,199.13347480,100.00000000,269.75226232,1561,741,96.00900596,13.00000000,3.64824952,0.27410406,0.73441734,-3.403E38,3.4e38,0
10,37_y.tif:0010-0817,671,0.99922455,0.01503636,0.99925879,0.62049937,1,1066.12891207,817.04545455,1066.13292890,817.04185032,120.95331881,1044,801,39,32,38.50919510,22.18544772,149.10382299,0.57636395,44.68780594,670.47967279,1,-24.07101991,599.43063202,100.00000000,670.47967279,1044,803,139.53777251,25.05510173,1.73578625,0.57610780,0.84032561,-3.403E38,3.4e38,1
