,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,3,63,3,832.2575757575758,0.5101993962121212
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,7,0,510.85714285714283,0.49741015571428565
0,Mar19bS2C1R1_LHl_200x_y.png,8,2,0,1307.2,0.606215572
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,4,0,744.2,0.587266054
0,Mar23bS1C1R4_VLPAGl_200x_y.png,5,12,0,581.1176470588235,0.5382873070588235
0,Mar23bS1C5R2_DMr_200x_y.png,12,4,1,879.375,0.5890203843749999
0,Mar26bS2C1R1_LHr_200x_y.png,8,4,0,1352.8333333333333,0.5225321899999998
0,Mar27bS1C2R2_LHr_200x_y.png,21,7,8,1352.6785714285713,0.5958914253571429
0,MAR38S1C3R1_DMR_20_o.png,55,144,5,942.4371859296482,0.5303116906532662
0,MAR55S3C2R2_VLPAGR_20_o.png,21,48,0,1087.5797101449275,0.5991818685507246
