 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.tif:0001-0005,74,0.01554306,0.00711836,0.00797155,0.00790306,0.04297060,3.77027027,4.68918919,3.76200811,4.82041905,31.89949494,0,0,8,10,11.06357085,8.51621304,72.51984228,0.91384801,12.80624847,1.15018643,0.01309333,1.84098490,4.81314598,100.00000000,1.15018643,0,10,51.34019175,8.00000000,1.29911861,0.76975265,0.98013245,-3.403E38,3.4e38,0
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.tif:0002-0054,4502,0.16675534,0.22482102,0.02313835,0.00000000,0.91129488,29.84162594,48.48778321,31.46385693,42.95257913,314.49242405,0,0,70,108,102.11555579,56.13370447,73.67912389,0.57199862,110.02272493,750.73254807,0.04785313,1.63115282,1.56727384,99.82230120,750.73254807,36,108,78.99645915,66.31531636,1.81914871,0.54970767,0.82803016,-3.403E38,3.4e38,4
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.tif:0003-0040,514,0.27692768,0.30846801,0.02093666,0.00490803,0.91675872,140.08560311,40.82490272,141.10441598,40.44069941,89.11269837,127,26,23,28,28.04120047,23.33869859,69.66412506,0.81338057,31.62277660,142.34082495,0.14246118,1.11536685,-0.32734323,100.00000000,142.34082495,132,52,55.30484647,23.00000000,1.20148946,0.83230027,0.96344892,-3.403E38,3.4e38,1
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.tif:0004-0068,780,0.17957924,0.27328884,0.02302051,0.00000000,0.90665406,99.86410256,68.78974359,97.49694005,68.37265880,105.88225099,81,54,38,29,37.99544569,26.13804962,21.75620345,0.87429528,39.29376541,140.07180618,0.04015981,1.82365145,1.84174736,98.71794872,140.07180618,81,76,14.74356284,28.05583962,1.45364502,0.68792586,0.95296274,-3.403E38,3.4e38,1
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.tif:0005-0118,908,0.13851398,0.04915886,0.06845448,0.06305031,0.31458947,123.72246696,119.34911894,124.86457806,120.97952083,124.02438662,105,100,42,37,46.55386367,24.83363174,139.35557081,0.74179096,48.87739764,125.77069396,0.13864106,0.72843136,1.02944317,100.00000000,125.77069396,105,101,149.23728047,26.24756039,1.87462970,0.53343868,0.92653061,-3.403E38,3.4e38,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.tif:0006-0124,688,0.17035881,0.26077753,0.01949925,0.00000000,0.90760124,57.70494186,123.76017442,60.90779646,122.28217899,100.66904756,44,109,28,31,32.28885296,27.12975923,94.29200194,0.85311265,33.30165161,117.20685813,0.03734569,1.81162284,1.94279375,99.27325581,117.20685813,47,136,41.34777722,27.93917610,1.19016364,0.84022059,0.92847503,-3.403E38,3.4e38,1
7,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.tif:0007-0148,35,0.09272254,0.02853487,0.06305540,0.05815972,0.13901733,122.07142857,148.32857143,122.03593854,148.17004855,26.72792206,116,146,12,4,10.75452637,4.14368635,1.09264001,0.61566932,12.04159458,3.24528904,0.08849766,0.53210188,-1.19145717,100.00000000,3.24528904,116,149,175.23635831,4.00000000,2.59540068,0.38529696,0.90909091,-3.403E38,3.4e38,0
8,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.tif:0001-0004,122,0.01781198,0.00165277,0.01770194,0.01277857,0.02290212,70.98360656,3.85245902,70.89331181,3.80860620,43.79898987,63,0,17,9,16.67647044,9.31463435,4.52287256,0.79917429,17.72004515,2.17306208,0.01772242,0.19634036,5.71462145,100.00000000,2.17306208,63,5,16.38954033,9.00000000,1.79035159,0.55854951,0.96062992,-3.403E38,3.4e38,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.tif:0002-0071,3467,0.16403167,0.24109195,0.01950346,0.00000000,0.90779763,120.09273147,58.36414768,119.27263277,58.98258813,402.04877324,74,13,76,117,92.02677653,47.96779446,119.54545997,0.26952945,125.00000000,568.69780764,0.04472916,1.81082069,2.04202598,99.68272282,568.69780764,85,13,110.60969294,74.90439392,1.91851173,0.52123736,0.57410167,-3.403E38,3.4e38,3
10,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.tif:0003-0077,618,0.14456138,0.01910934,0.13319292,0.07342116,0.18803968,37.89805825,77.47572816,37.85987604,77.30311824,90.66904756,24,63,26,29,29.62536630,26.56041551,103.00675991,0.94467024,30.67572330,89.33893304,0.13850507,-0.08664757,0.02061455,100.00000000,89.33893304,35,63,109.02560604,26.00000000,1.11539544,0.89654302,0.97246263,-3.403E38,3.4e38,1
