@relation segment

@attribute original numeric
@attribute Bilateral_5.0_50.0 numeric
@attribute Bilateral_5.0_100.0 numeric
@attribute Bilateral_10.0_50.0 numeric
@attribute Bilateral_10.0_100.0 numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Laplacian_16.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
109.888839,105.055511,100.222182,104.222182,88.249962,232.472205,251.055572,255,255,255,49.608202,64.265868,69.959019,52.974014,356.876948,-342.334249,26530.311204,-20.684129,-321.65012,0.526374,1047136130.214248,79123.61997,109.369225,54.587253,339.114006,-326.715106,23036.43326,-20.780181,-305.934925,0.527659,855744465.515791,72625.516247,-4.909002,106.528016,66.761075,251.184024,-261.863275,9925.598737,-1.112618,-260.750657,1.037377,1284535660.641345,43883.053568,2.84121,-5.085895,102.134923,77.602031,237.31753,-312.340136,20791.233545,-69.158852,-243.181285,0.713294,1464623582.268383,15291.053255,7.234302,4.393093,-2.83929,83.798811,39.778965,176.84509,-247.624752,15189.259555,-99.564592,-148.06016,-0.784579,73071370.344949,1300.933355,25.570414,22.729204,18.336112,-0.443761,54.031854,5.946136,39.467791,-55.729116,773.162832,-25.02985,-30.699265,-0.962932,52335.881494,16.770668,55.337371,52.496161,48.103069,29.766957,-0.030429,72.794667,79.838818,66.051216,727.946668,4.457397,73.462954,'class 1'
110.111059,105.611059,101.111059,104.444403,88.749954,231.861105,249.611151,255,255,255,50.304097,65.224914,71.286491,47.946959,340.463101,-255.002024,6074.870669,66.290724,-321.292749,0.502097,1003049532.651274,109287.470165,109.75382,50.194814,324.69659,-245.964704,4634.134353,61.753142,-307.717845,0.505134,835980397.551662,100356.096184,-3.884884,107.537245,65.776167,244.890936,-220.559627,1532.38436,43.520428,-264.080055,0.886529,1274284569.893041,57525.110271,2.216575,-5.297619,103.687946,75.972765,243.126552,-321.953239,22432.18675,-75.334003,-246.619236,0.398972,1508242789.253563,14828.730647,6.065874,3.849299,-2.916965,84.609237,37.460259,182.759637,-256.508708,16362.397467,-106.414765,-150.093945,-0.910267,64816857.561091,1087.452286,25.144583,22.928007,19.078708,-0.446935,54.14656,5.394806,39.912284,-56.36254,790.950967,-25.353522,-31.009018,-0.916596,53013.21384,16.614654,55.60726,53.390685,49.541386,30.462678,-0.03037,73.270527,80.036343,66.936029,732.705284,4.155187,73.848907,'class 1'
110.444395,106.444395,102.444395,104.777739,89.499954,230.944441,247.444487,255,255,255,51.347957,66.663504,73.27773,40.40626,315.841956,-124.001689,-24608.758329,196.754995,-320.756684,0.465682,936918627.229277,154533.935863,110.330721,43.606055,303.070137,-124.837253,-22969.735209,185.555017,-310.392266,0.471347,806333843.234951,141952.600801,-2.348684,109.051111,64.298783,235.45116,-158.603208,-11057.629314,110.471019,-269.074227,0.660254,1258907699.138158,77988.507572,1.279609,-5.61521,106.017515,73.528829,251.840219,-336.373113,24893.654117,-84.596869,-251.776243,-0.072518,1573672598.110985,14135.236152,4.313205,3.033596,-3.033478,85.824895,33.982146,191.631593,-269.834845,18122.131187,-116.69018,-153.14467,-1.098802,52434899.451617,767.225798,24.505826,23.226216,20.19262,-0.451696,54.31862,4.567798,40.579034,-57.312692,817.633578,-25.839038,-31.473654,-0.847092,54029.227863,16.38063,56.0121,54.732491,51.698895,31.506275,-0.03028,73.984329,80.332635,68.263269,739.843316,3.701866,74.427846,'class 1'
110.555511,106.722182,102.888854,104.888854,89.749962,230.638877,246.722243,255,255,255,51.695921,67.143049,73.941496,37.892617,307.634657,-80.333577,-34836.946791,240.244413,-320.57799,0.453543,914874319.370254,169616.551367,110.523027,41.409735,295.861099,-84.460203,-32171.305864,226.823568,-311.283767,0.460084,796451356.882368,155818.525481,-1.836601,109.555749,63.806306,232.304473,-137.950439,-15254.428611,132.788564,-270.739002,0.584827,1253781919.131579,84809.84817,0.967278,-5.721077,106.794062,72.714158,254.744863,-341.179885,25714.168278,-87.684586,-253.495297,-0.229686,1595483199.983227,13904.064266,3.728965,2.761687,-3.072318,86.230127,32.82274,194.589002,-274.277026,18708.726994,-120.115423,-154.161609,-1.161649,48307454.126001,660.480378,24.2929,23.325622,20.563935,-0.453282,54.375976,4.29212,40.80129,-57.629419,826.528053,-26.000882,-31.628537,-0.823923,54367.90954,16.302619,56.147051,55.179773,52.418086,31.854151,-0.030251,74.222271,80.431402,68.705696,742.222733,3.550754,74.620832,'class 1'
111.222159,107.611064,104.166629,105.499952,90.4444,230.055526,244.888892,253.333349,254.166669,254.777774,52.005375,68.227848,75.345022,48.167202,327.632842,6.111906,-50693.208127,327.237961,-321.126054,0.116776,4326497553.793854,217119.772526,111.366092,50.952261,310.018571,-10.69784,-46099.383563,302.532792,-313.23063,0.124571,2365248140.581474,193948.507789,-0.940755,111.434677,68.316259,230.49892,-129.898938,-17996.087265,146.723744,-276.62268,0.195474,1546669079.226001,89876.951657,-0.068585,-6.173297,108.918806,68.853478,273.953397,-371.15238,31962.01648,-105.220649,-265.93173,-0.478058,1791497930.501585,13169.003194,2.447287,2.515872,-3.157848,87.085779,28.766621,201.777175,-284.707311,20174.255778,-125.976679,-158.730639,-1.13476,49671218.196469,589.335007,24.280313,24.348898,21.833026,-0.45609,54.471079,3.64028,41.237173,-58.245352,844.058011,-26.251181,-31.99417,-0.782746,57618.167438,16.888555,56.895013,56.963598,54.447726,32.6147,-0.03011,74.782545,80.626985,69.850276,747.825478,3.233902,74.995591,'class 1'
111.777693,108.222159,104.999944,105.999934,90.888831,229.777739,243.777785,251.666697,253.333338,254.555549,51.966866,68.833102,76.084782,60.95543,355.838325,48.889279,-56321.281001,370.742091,-321.852811,-0.207853,7760165096.076476,249540.378181,112.016851,62.691107,331.385081,22.687475,-50825.890607,336.973466,-314.285992,-0.199678,3943927410.633164,218212.565416,-0.556991,112.808969,73.318688,231.840055,-142.500208,-16540.946622,138.341379,-280.841582,-0.118452,1844682019.327001,88122.714546,-0.792117,-6.51965,110.267002,65.807468,290.257288,-396.318103,37389.35052,-119.668996,-276.649107,-0.569263,1965702059.1477,12665.114008,1.749849,2.541966,-3.204539,87.5362,25.869909,206.007938,-290.695416,21053.188754,-128.412692,-162.282729,-1.045023,55162427.592554,624.935057,24.480651,25.272768,22.730802,-0.457311,54.508827,3.264118,41.450799,-58.544558,852.693494,-26.339637,-32.20492,-0.764738,60529.743659,17.552501,57.508024,58.300141,55.758175,33.027373,-0.029999,75.104878,80.723802,70.552429,751.048806,3.068163,75.177366,'class 1'
112.611006,109.138816,106.249936,106.749919,91.555488,229.361052,242.111098,249.166682,252.083323,254.222205,51.909101,69.740998,77.194438,80.138065,398.147195,113.056317,-64763.51913,435.999283,-322.942963,-0.694803,12910745001.112732,298172.028724,112.993005,80.299645,363.435334,72.76621,-57915.759355,388.635265,-315.869059,-0.686059,6311982449.363022,254609.207226,0.018664,114.870437,80.822447,233.851789,-161.4024,-14358.202352,125.76764,-287.170031,-0.589348,2291708250.55747,85491.318727,-1.877431,-7.039188,112.289328,61.238383,314.713497,-434.067265,45530.475804,-141.341847,-292.725419,-0.706071,2227012239.393794,11909.268696,0.703677,2.581108,-3.274578,88.211842,21.524774,212.35418,-299.67771,22371.608336,-132.066767,-167.610947,-0.910417,63399367.372408,678.335947,24.781163,26.658595,24.077486,-0.459143,54.565451,2.699867,41.771242,-58.993374,865.646916,-26.472324,-32.52105,-0.737726,64897.174633,18.548436,58.427555,60.304986,57.723877,33.646391,-0.029833,75.588386,80.869028,71.605675,755.883871,2.81955,75.450031,'class 1'
112.888785,109.444377,106.666613,106.999921,91.777713,229.222152,241.555518,248.333318,251.666639,254.111087,51.889845,70.043639,77.564335,86.532471,412.250583,134.445982,-67577.684385,457.752344,-323.306358,-0.857125,14627657363.866364,314383.073612,113.3184,86.169336,374.119078,89.459631,-60279.12106,405.85639,-316.396764,-0.848192,7101358218.041191,266741.791408,0.210555,115.557614,83.323776,234.522387,-167.703323,-13630.598724,121.576266,-289.279579,-0.746318,2440721541.686938,84614.160019,-2.239214,-7.212373,112.963457,59.715308,322.865815,-446.650702,48244.267048,-148.566351,-298.084354,-0.751675,2314118290.993772,11657.31257,0.354942,2.594156,-3.297924,88.437063,20.076351,214.469658,-302.671899,22811.094942,-133.284829,-169.387073,-0.865546,66145097.756177,696.136787,24.881337,27.120551,24.526395,-0.459753,54.584326,2.511777,41.87806,-59.142984,869.964855,-26.516554,-32.62643,-0.728721,66353.029385,18.880424,58.734074,60.973288,58.379132,33.852737,-0.029777,75.749559,80.917439,71.956768,757.495608,2.736676,75.540922,'class 1'
113.722098,110.361034,107.916606,107.749906,92.44437,228.805465,239.888831,245.833303,250.416623,253.777744,51.83208,70.951534,78.673991,105.715106,454.559453,198.61302,-76019.922513,523.009535,-324.39651,-1.344076,19778237268.90262,363014.724155,114.294554,103.777874,406.169332,139.538367,-67368.989809,457.51819,-317.979831,-1.334573,9469413256.77105,303138.433217,0.786209,117.619082,90.827534,236.53412,-186.605515,-11447.854454,109.002527,-295.608028,-1.217214,2887747772.917407,81982.764201,-3.324528,-7.731911,114.985783,55.146223,347.322024,-484.399863,56385.392332,-170.239202,-314.160666,-0.888483,2575428471.239866,10901.467257,-0.69123,2.633298,-3.367963,89.112705,15.731216,220.8159,-311.654193,24129.514524,-136.938904,-174.71529,-0.730939,74382037.536031,749.537676,25.181849,28.506377,25.873079,-0.461584,54.640949,1.947526,42.198504,-59.5918,882.918277,-26.64924,-32.94256,-0.701709,70720.460359,19.876358,59.653605,62.978133,60.344834,34.471756,-0.029611,76.233067,81.062665,73.010014,762.330674,2.488063,75.813588,'class 1'
116.083089,112.083178,109.083239,109.388717,93.916522,230.388689,240.638735,245.833227,250.416585,253.777734,51.948576,72.043619,79.184228,114.796607,488.729618,125.064007,-58784.767693,488.00517,-362.941158,-1.408786,35088531716.468,365110.771221,116.581389,111.679897,440.597536,67.071218,-50476.776983,423.234408,-356.163199,-1.399841,23843287105.193787,305528.047812,-0.269255,119.542929,91.949835,271.398107,-248.76909,3032.11467,80.625181,-329.394256,-1.289175,10947156242.294031,85057.300276,-2.96154,-8.089182,116.063523,50.690641,367.946586,-513.655102,63567.689088,-180.911795,-332.743312,-0.892988,3852572103.162421,12678.93247,0.517866,3.479405,-3.394908,89.34422,14.2742,223.561343,-315.50015,24693.060821,-138.031114,-177.469036,-0.683184,82398213.832919,814.233292,27.237169,30.198708,26.719303,-0.461775,54.638353,1.977428,42.282449,-59.708188,886.192701,-26.661228,-33.04696,-0.694591,72836.731995,20.422476,61.943036,64.904576,61.425171,34.705868,-0.029474,76.515753,81.210607,73.238429,765.157532,2.521335,76.095906,'class 1'
