@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
255,0,75.05084,-86.75,3420.75,9.185758,-95.935758,-0.450116,9030265139,23749,254.999994,0.624498,101.187682,-122.083763,5226.758274,3.192062,-125.275826,-1.037341,10768352942.017578,26416.268713,254.897958,9.116816,268.940969,-356.862585,31570.928894,-64.81752,-292.045069,-1.022575,22240253872,42361.916458,0.102036,248.702259,54.757002,533.329523,-750.127659,139293.250488,-308.060581,-442.067076,-0.485931,8038119584,11530.138855,6.297735,6.195699,205.737837,73.482225,405.723482,-568.716908,79255.062012,-228.026946,-340.689947,0.304181,2210212364,6705.478958,49.262157,49.160121,42.964422,131.869496,26.302761,110.157975,-155.659241,6051.621521,-73.65536,-82.003881,-0.065774,1027287.503906,43.733321,123.130498,123.028461,116.832763,73.86834,181.104131,201.222498,164.563691,1811.041275,12.753588,179.185302,'class 1'
255,0,65.327541,-75.0625,2815.9375,7.750339,-82.81284,-0.380379,6997825254.25,20010.25,254.999994,0.547393,89.190148,-106.869109,4320.789597,2.778446,-109.647555,-1.115094,8433785587.896973,22488.251022,254.909252,8.073779,247.318458,-327.696156,27418.053085,-61.477089,-266.21907,-1.089485,18507853740,36908.258854,0.090742,249.054155,51.418998,525.090905,-738.896314,135556.204712,-308.234799,-430.661513,-0.41046,6885272920,9933.284775,5.945839,5.855097,206.173067,71.846568,408.370866,-571.787236,79939.557007,-226.219773,-345.567449,0.272679,2477092361,7458.89706,48.826927,48.736185,42.881088,131.965982,25.99448,110.455932,-156.064621,6081.684021,-73.492446,-82.572175,-0.120796,1176775.526367,49.781418,123.034013,122.94327,117.088173,74.207085,181.24382,200.862004,164.297541,1812.438175,12.822887,179.591347,'class 1'
255,0,5.353944,-6.125,-3.1875,1.237824,-7.362823,-0.061673,975961,334.75,255,0.023711,20.997575,-26.020446,173.123867,-0.931497,-25.088949,-0.984624,7205601.10944,754.181118,254.987308,2.645947,145.51939,-197.301116,9801.157253,-50.279891,-147.021226,-0.964319,670780139.078125,6252.324278,0.012692,250.795247,35.34817,476.415504,-670.422235,111918.329285,-288.100747,-382.321489,-0.085159,2321513684,5618.020859,4.204753,4.192061,208.999058,61.189825,417.373652,-583.39705,82827.918091,-224.810445,-358.586591,0.255619,3125512744,9117.523933,46.000942,45.98825,41.796189,132.90919,23.011297,112.87977,-159.526275,6353.933212,-75.365178,-84.161096,-0.296013,1055905.458862,41.728974,122.09081,122.078117,117.886056,76.089868,183.007537,201.451072,165.73696,1830.075338,12.745245,181.8571,'class 1'
255,0,0,0,0,0,0,0,0,0,255,0.000143,11.685651,-14.359764,38.03074,-0.992592,-13.367172,-0.74538,24729.041443,84.157935,254.993423,1.693945,115.572678,-156.811142,5981.270081,-41.85133,-114.959812,-0.74405,84301180.75,2763.717072,0.006577,251.351883,28.663469,454.260468,-637.70607,101104.213867,-267.341511,-370.364563,0.060959,2236391040,7102.065186,3.648117,3.641541,210.176891,55.446226,420.882469,-587.693192,83808.337891,-222.630367,-365.062813,0.247452,3516261952,10166.486328,44.823109,44.816532,41.174992,133.304173,21.404348,113.912022,-160.988708,6472.277832,-76.097589,-84.891119,-0.369353,1053846.6875,41.441464,121.695827,121.689251,118.04771,76.872719,183.716583,201.565792,166.141087,1837.165802,12.699064,182.900402,'class 1'
143.75,40.527756,188.704147,158.5,-6733.5,233.24332,-74.743325,0.34164,929130400,54400,144.037025,37.514251,168.704901,124.362441,-7517.221313,207.145016,-82.782572,0.335902,435925122,49181.816895,145.674589,24.211762,111.406335,-62.875584,-3720.188507,75.167823,-138.043406,0.348169,1140720892.84375,31018.647583,-1.637564,144.695303,62.429107,170.931967,-221.271772,10288.792969,-35.474706,-185.79707,0.255346,864555078,12187.161255,-0.658278,0.979286,132.373169,78.709804,137.056738,-187.16128,8099.702576,-57.300763,-129.860513,-0.036502,92357928,2633.917572,11.663857,13.30142,12.322134,100.863083,30.266106,56.630056,-80.064573,1601.901657,-38.632633,-41.43194,0.129132,30897.423584,4.992367,43.173943,44.811506,43.83222,31.510086,126.479178,134.842106,118.059028,1264.791809,5.628933,126.19125,'class 1'
144.3125,43.559822,232.819072,86.125,-14491.875,242.893898,-156.768903,0.554775,44948753848,121714.25,144.593972,40.137199,211.864467,51.867583,-13428.594208,215.032831,-163.165245,0.541768,37790523546.5,108818.094116,146.138618,26.594664,158.386088,-129.892752,-1369.298119,75.114805,-205.007555,0.495276,12273076285.632812,56974.884125,-1.544646,144.245606,64.497097,190.015266,-248.015231,13239.014404,-41.954465,-206.060768,0.321557,1233858148.5,14422.795746,0.348366,1.893012,131.382862,79.619843,135.09984,-184.163723,7833.545166,-55.527625,-128.636094,-0.070241,90286436.75,2681.315727,13.21111,14.755756,12.862744,100.46501,30.729435,55.901372,-79.015566,1561.087105,-37.752595,-41.262971,-0.133157,46569.023254,8.065761,44.128962,45.673608,43.780596,30.917852,126.07579,134.810994,117.818577,1260.757919,5.662477,125.799687,'class 1'
145.0625,43.642184,317.325945,-40.0625,-27491.109375,252.645823,-292.708331,0.708058,144673290403,254297.5,145.299266,40.257145,294.378815,-69.592266,-22454.187542,222.857044,-292.44931,0.693173,122211718394.4375,224425.673447,146.382703,30.097563,226.07056,-219.790912,4174.716828,72.629015,-292.419924,0.622987,36139674275.00488,99038.900173,-1.083437,143.236078,67.656792,208.756737,-275.145997,16749.288574,-50.253554,-224.892444,0.401917,1644581540.8125,16162.394176,2.063188,3.146625,129.949704,80.674291,131.825414,-178.86736,7354.102795,-51.959859,-126.907497,-0.085539,88652990.53125,2830.220244,15.349563,16.432999,13.286375,99.897953,31.363138,54.849162,-77.500806,1503.367909,-36.587122,-40.913683,-0.248647,66059.418404,12.272268,45.401314,46.48475,43.338126,30.051751,125.391112,134.369674,117.018338,1253.911144,5.718793,125.200765,'class 1'
145.375,42.733102,357.737689,-100,-32664.0625,254.615927,-354.615936,0.744379,192583233844,315770,145.585404,39.456573,333.930733,-126.447558,-25770.76326,224.271982,-350.71954,0.730466,162825988642.25,277886.641174,146.400543,31.532677,255.537716,-257.84555,7179.44598,70.596777,-328.442323,0.66255,47616421329.54297,117615.624649,-0.815139,142.718427,69.039529,215.074748,-284.558963,18103.732422,-53.628732,-230.93023,0.434922,1793841760.75,16610.031693,2.866977,3.682116,129.324201,81.077315,130.293599,-176.340217,7123.762497,-50.188052,-126.152161,-0.084586,88203051.375,2911.557285,16.261203,17.076342,13.394225,99.652567,31.63254,54.390748,-76.840426,1478.410587,-36.097008,-40.743417,-0.244639,74152.801483,14.09755,45.932837,46.747976,43.06586,29.671634,125.06893,134.093776,116.569011,1250.689316,5.744132,124.934247,'class 1'
146,40.914938,438.561177,-219.875,-43009.96875,258.556136,-478.431148,0.817021,288403120726,438715,146.157679,37.855429,413.034569,-240.158141,-32403.914696,227.101859,-467.260001,0.805052,244054529137.875,384808.57663,146.436223,34.402904,314.472029,-333.954827,13188.904284,66.532301,-400.487121,0.741676,70569915438.61914,154769.073601,-0.278544,141.683124,71.805004,227.710769,-303.384893,20812.620117,-60.379089,-243.005803,0.500934,2092362200.625,17505.306725,4.474556,4.7531,128.073197,81.883364,127.229968,-171.28593,6663.081902,-46.644437,-124.641489,-0.082681,87303173.0625,3074.231367,18.084482,18.363026,13.609927,99.161796,32.171344,53.473919,-75.519666,1428.495943,-35.11678,-40.402885,-0.236624,90339.567642,17.748115,46.995884,47.274427,42.521328,28.911401,124.424564,133.541978,115.670356,1244.245659,5.794809,124.401209,'class 1'
146.9375,38.187692,559.796408,-399.6875,-58528.828125,264.466448,-664.153965,0.925983,432132951049,623132.5,147.016092,35.453712,531.690323,-410.724015,-42353.64185,231.346673,-642.070693,0.916931,365897339881.3125,545191.479813,146.489743,38.708244,402.873498,-448.118741,22203.091739,60.435587,-508.554319,0.860366,105000156602.2334,210499.247028,0.526349,140.130169,75.953215,246.664802,-331.623789,24875.95166,-70.504624,-261.119161,0.599951,2540142860.4375,18848.219273,6.885924,6.359574,126.19669,83.092437,122.634521,-163.704499,5972.061008,-41.329015,-122.375481,-0.079823,85953355.59375,3318.24249,20.819402,20.293053,13.933478,98.425639,32.979551,52.098675,-73.538525,1353.623977,-33.646438,-39.892087,-0.224601,114619.716881,23.223961,48.590453,48.064104,41.70453,27.771052,123.458016,132.714282,114.322375,1234.580173,5.870826,123.601652,'class 1'
